time_s,linear_mps,angular_rps
62.700033526,0.0,0.0
62.700599915,0.0,0.0
62.753153152,0.0,0.0
62.792250535,0.0,0.0
62.845335062,0.0,0.0
62.885053534,0.0,0.0
62.946793602,0.0,0.0
63.00036012,0.0,0.0
63.060148824,0.0,0.0
63.094520994,0.0,0.0
63.151568748,0.0,0.0
63.193902967,0.0,0.0
63.270077988,0.0,0.0
63.308234101,0.0,0.0
63.360632879,0.0,0.0
63.399380302,0.0,0.0
63.466546356,0.0,0.0
63.533537706,0.0,0.0
63.592390405,0.0,0.0
63.624006595,0.0,0.0
63.679759636,0.0,0.0
63.720736082,0.0,0.0
63.794985232,0.0,0.0
63.833843838,0.0,0.0
63.888692535,0.0,0.0
63.926139916,0.0,0.0
63.986058605,0.0,0.0
64.033063759,0.0,0.0
64.09638351,0.0,0.0
64.130606933,0.0,0.0
64.188010276,0.0,0.0
64.229298327,0.0,0.0
64.301245834,0.0,0.0
64.338006403,0.0,0.0
64.394415828,0.0,0.0
64.430712088,0.0,0.0
64.490409073,0.0,0.0
64.556111667,0.0,0.0
64.617214578,0.0,0.0
64.656231587,0.0018575637499964161,0.0
64.708651528,0.004568532449997065,0.0
64.748732237,0.006543972399998666,0.0
64.819952497,0.010120075649996351,0.0
64.871944217,0.012727796799998713,0.0
64.930448852,0.015,0.0
64.970510061,0.015,0.0
65.023706802,0.015,0.0
65.065469841,0.015,0.0
65.15075325,0.015,0.0
65.190654555,0.015,0.0
65.247753266,0.015,0.0
65.282966589,0.015,0.0
65.342742246,0.015,0.0
65.381170526,0.015,0.0
65.463392181,0.015,0.0
65.505111419,0.015,0.0
65.560521299,0.015,0.0
65.583018597,0.015,0.0
65.59783866,0.015,0.0
65.604019569,0.015,0.0
65.6170635,0.015,0.0
65.625315146,0.015,0.0
65.636489143,0.015,0.0
65.644801491,0.015,0.0
65.652807932,0.015,0.0
65.662364601,0.015,0.0
65.670935753,0.015,0.0
65.682912665,0.015,0.0
65.68671113,0.015,0.0
65.692108423,0.015,0.0
65.707550789,0.015,0.0
65.709259418,0.015,0.0
65.720879318,0.015,0.0
65.728954757,0.015,0.0
65.740862162,0.015,0.0
65.748254089,0.015,0.0
65.756673334,0.015,0.0
65.763938959,0.015,0.0
65.771671492,0.015,0.0
65.777314489,0.015,0.0
65.786599149,0.015,0.0
65.791767138,0.015,0.0
65.803174935,0.015,0.0
65.811714482,0.015,0.0
65.824270998,0.015,0.0
65.830035597,0.015,0.0
65.84006647,0.015,0.0
65.849888339,0.015,0.0
65.857675473,0.015,0.0
65.867569943,0.015,0.0
65.876576898,0.015,0.0
65.885947259,0.015,0.0
65.90051931,0.015,0.0
65.907299727,0.015,0.0
65.918082412,0.015,0.0
65.923065398,0.015,0.0
65.932777465,0.015,0.0
65.939371879,0.015,0.0
65.947479118,0.015,0.0
65.955891563,0.015,0.0
65.965181223,0.015,0.0
65.969334494,0.015,0.0
65.982619923,0.015,0.0
65.987916214,0.015,0.0
66.003035074,0.015,0.0
66.005458016,0.015,0.0
66.016823712,0.015,0.0
66.021829798,0.015,0.0
66.029964938,0.015,0.0
66.039541503,0.015,0.0
66.046075515,0.015,0.0
