unix_time_s,cpu_percent,mem_used_mb,mem_available_mb
1784377301.455,0.25,600.56,3316.05
1784377302.457,0.51,603.59,3313.02
1784377303.459,1.52,603.59,3313.02
1784377304.461,0.25,603.59,3313.02
1784377305.463,0.51,603.59,3313.02
1784377306.464,0.51,603.59,3313.02
1784377307.466,1.01,603.59,3313.02
1784377308.467,0.51,603.59,3313.02
1784377309.470,0.25,603.59,3313.02
1784377310.472,1.51,603.59,3313.02
1784377311.474,0.51,603.56,3313.05
1784377312.476,0.51,603.56,3313.05
1784377312.845,1.50,603.56,3313.05
1784377313.847,5.78,603.56,3313.05
1784377314.849,4.87,603.56,3313.05
1784377315.849,4.87,603.56,3313.05
1784377316.851,6.01,603.56,3313.05
1784377317.853,5.08,603.56,3313.05
1784377318.853,5.56,603.56,3313.05
1784377319.854,5.10,603.56,3313.05
1784377320.856,4.63,603.56,3313.05
1784377321.858,5.77,603.51,3313.11
1784377322.859,5.10,603.44,3313.17
1784377323.861,6.00,603.44,3313.17
1784377324.862,6.24,603.44,3313.17
1784377325.864,5.78,603.44,3313.17
1784377326.867,5.10,603.44,3313.17
1784377327.868,4.16,603.44,3313.17
1784377328.870,4.87,603.38,3313.23
1784377329.872,5.30,603.36,3313.25
1784377330.874,6.02,603.36,3313.25
1784377331.876,5.33,603.36,3313.25
1784377332.878,4.62,603.36,3313.25
1784377333.880,4.87,603.31,3313.30
1784377334.881,4.40,603.31,3313.30
1784377335.882,5.78,603.31,3313.30
1784377336.883,5.33,603.31,3313.30
1784377337.885,5.33,603.31,3313.30
1784377338.886,5.33,603.31,3313.30
1784377339.887,5.54,603.31,3313.30
1784377340.889,5.54,603.31,3313.30
1784377341.892,5.53,603.23,3313.38
1784377342.894,6.01,603.23,3313.38
1784377343.896,6.68,603.23,3313.38
1784377344.264,3.19,603.23,3313.38
1784377345.266,1.01,603.23,3313.38
1784377346.268,0.76,603.18,3313.43
1784377347.269,0.26,603.18,3313.43
1784377348.271,0.51,603.18,3313.43
1784377349.273,0.76,603.18,3313.43
1784377350.275,1.01,603.18,3313.43
1784377351.276,0.26,603.18,3313.43
1784377352.277,0.51,603.18,3313.43
1784377353.280,1.01,603.18,3313.43
1784377354.284,0.00,603.18,3313.43
1784377355.286,1.01,603.18,3313.43
1784377356.288,0.76,603.18,3313.43
1784377357.289,0.51,603.18,3313.43
1784377358.291,0.00,603.08,3313.54
1784377359.292,0.26,603.08,3313.54
