wsl_unix_time_s,connected,rx_count,crc_errors,last_rtt_ms,estimated_one_way_ms,wall_clock_delta_ms,last_state_age_s,scan_count_this_window,odom_count_this_window,nonzero_cmd_vel_count_this_window
1784377146.122,True,19424,0,56.58943199978239,28.294715999891196,489.6101951599121,0.09545731544494629,4,4,0
1784377147.123,True,19434,0,57.385793999856105,28.692896999928053,512.0205879211426,0.006947517395019531,10,9,0
1784377148.121,True,19443,0,59.8032160000912,29.9016080000456,531.4071178436279,0.026725053787231445,9,10,0
1784377149.121,True,19452,0,57.41209899997557,28.706049499987785,550.2660274505615,0.04716753959655762,9,9,0
1784377150.122,True,19461,0,57.89552199985337,28.947760999926686,568.5837268829346,0.0575869083404541,9,9,0
1784377151.122,True,19470,0,56.837027999790735,28.418513999895367,587.7842903137207,0.047158002853393555,9,9,0
1784377152.122,True,19479,0,56.77963299967814,28.38981649983907,606.3024997711182,0.06832504272460938,9,9,0
1784377153.122,True,19488,0,57.35215499998958,28.67607749999479,625.6141662597656,0.09147500991821289,9,9,0
1784377154.122,True,19497,0,56.62651199963875,28.313255999819376,644.3920135498047,0.07347559928894043,9,9,0
1784377155.122,True,19512,0,57.133993999741506,28.566996999870753,25.577783584594727,0.09177565574645996,10,10,0
1784377156.122,True,19522,0,60.74914200007697,30.374571000038486,39.86406326293945,0.007957220077514648,10,9,0
1784377157.123,True,19531,0,59.311496000191255,29.655748000095628,50.32229423522949,0.029908418655395508,9,10,0
1784377158.122,True,19540,0,57.00899600014964,28.50449800007482,61.92183494567871,0.04204916954040527,9,9,0
1784377159.122,True,19549,0,56.27621699977681,28.138108499888403,72.07489013671875,0.05206656455993652,9,9,0
1784377160.122,True,19558,0,57.100011999864364,28.550005999932182,83.01281929016113,0.07357144355773926,9,9,0
1784377161.122,True,19567,0,61.852153000018006,30.926076500009003,96.1310863494873,0.08440566062927246,9,9,0
1784377162.122,True,19577,0,56.87196700000641,28.435983500003204,106.09698295593262,0.002391815185546875,10,9,0
1784377163.122,True,19586,0,59.677334999832965,29.838667499916482,127.67982482910156,0.017115354537963867,9,9,0
1784377164.122,True,19594,0,58.18638499977169,29.093192499885845,143.3274745941162,0.08858728408813477,8,9,0
1784377165.121,True,19603,0,57.13095200007956,28.56547600003978,162.65606880187988,0.08898019790649414,9,9,0
1784377166.122,True,19612,0,56.80854000002,28.40427000001,180.86862564086914,0.11418843269348145,9,9,0
1784377167.122,True,19622,0,58.913697999742,29.456848999871,202.73637771606445,0.02083897590637207,10,10,0
1784377168.123,True,19631,0,64.82355300022391,32.411776500111955,225.49700736999512,0.02193140983581543,9,9,0
1784377169.122,True,19640,0,56.95455300019603,28.477276500098014,240.71979522705078,0.022060394287109375,9,9,0
1784377170.122,True,19649,0,63.78310900026918,31.89155450013459,266.41106605529785,0.04044675827026367,9,9,0
1784377171.122,True,19658,0,58.71761999969749,29.358809999848745,279.85191345214844,0.03857231140136719,9,9,0
1784377172.122,True,19667,0,56.28988800026491,28.144944000132455,301.43117904663086,0.04335498809814453,9,9,0
1784377173.123,True,19676,0,57.44258000004265,28.721290000021327,324.91469383239746,0.06266188621520996,9,9,0
1784377174.122,True,19685,0,56.936658000267926,28.468329000133963,348.25658798217773,0.07979130744934082,9,9,0
1784377175.122,True,19694,0,56.829715999811015,28.414857999905507,371.92440032958984,0.07617020606994629,9,9,0
1784377176.122,True,19703,0,57.10546999989674,28.55273499994837,395.80368995666504,0.07660651206970215,9,9,0
1784377177.122,True,19712,0,6.140423000033479,3.0702115000167396,419.82150077819824,0.06352090835571289,8,8,0
1784377178.123,True,19721,0,5.588814000020648,2.794407000010324,442.69299507141113,0.10461139678955078,9,9,0
1784377179.121,True,19730,0,43.522070000108215,21.761035000054108,466.7940139770508,0.11631441116333008,9,9,0
1784377180.122,True,19735,0,124.60169999985737,62.30084999992869,521.7869281768799,0.4846198558807373,2,2,0
1784377181.123,True,19746,0,115.61331400025665,57.806657000128325,510.33592224121094,0.21682500839233398,4,4,0
1784377182.123,True,19756,0,355.3862150001805,177.69310750009026,631.580114364624,0.005136251449584961,5,4,0
1784377183.122,True,19763,0,111.27364699996178,55.63682349998089,540.7116413116455,0.3177204132080078,5,6,0
1784377184.122,True,19774,0,62.31079199960732,31.15539599980366,569.3182945251465,0.10389089584350586,4,4,0
1784377185.122,True,19783,0,5.785304999790242,2.892652499895121,583.2281112670898,0.08851027488708496,6,6,0
1784377186.122,True,19793,0,5.931622999924002,2.965811499962001,603.5454273223877,0.029507875442504883,10,10,0
