trial_index,relative_path,source_sha256,windows_sha256,match
2,objective5_impairment_matrix_v1_condition_G_trial02_attempt01_diag_logs/relay_counter.log,42f6662a8ad045ace3dbd10985699ad30155cd1f3d536595ce6957e3f7bec30d,42f6662a8ad045ace3dbd10985699ad30155cd1f3d536595ce6957e3f7bec30d,True
2,objective5_impairment_matrix_v1_condition_G_trial02_attempt01_diag_logs/simulation.log,9ef848934d4fd4f097cc4c19ae9719067ded23b01c45c8d15d36d3594ef8c296,9ef848934d4fd4f097cc4c19ae9719067ded23b01c45c8d15d36d3594ef8c296,True
2,objective5_impairment_matrix_v1_condition_G_trial02_attempt01_diag_logs/state_epuck1.log,477bd3be04a83003b8cd9356e45dbf0552ed9b277a1427fad11cca1c8918bd1b,477bd3be04a83003b8cd9356e45dbf0552ed9b277a1427fad11cca1c8918bd1b,True
2,objective5_impairment_matrix_v1_condition_G_trial02_attempt01_diag_logs/state_epuck2.log,426664546bda00871c4ea825cf2db7a727db8078a9996325f97ff3e3392c1661,426664546bda00871c4ea825cf2db7a727db8078a9996325f97ff3e3392c1661,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01/metadata.yaml,f5706d13275bc101f478e6391bf02aa3ea90f8e5bfdb3ea812664d4089753d13,f5706d13275bc101f478e6391bf02aa3ea90f8e5bfdb3ea812664d4089753d13,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01/objective5_impairment_matrix_v1_condition_G_trial03_attempt01_0.db3,045b7b004530466b541636abac3b72f489d2a38b45fb9dcf77d8daec581de13e,045b7b004530466b541636abac3b72f489d2a38b45fb9dcf77d8daec581de13e,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/bag_record.log,934b754d1f9a80c1e65e12aff200999a4cdde64a21d2296ae2e5bb1a805a45df,934b754d1f9a80c1e65e12aff200999a4cdde64a21d2296ae2e5bb1a805a45df,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/controller.log,6b74a812db1d1183cf4dff97d5da2b28126932bdc23511f20a7cacc9c1dfbfc8,6b74a812db1d1183cf4dff97d5da2b28126932bdc23511f20a7cacc9c1dfbfc8,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/epuck1_counter.json,89ccc995a151a3dda160f4865aa908d513345da0091a69e3cf554a31eacd3902,89ccc995a151a3dda160f4865aa908d513345da0091a69e3cf554a31eacd3902,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/epuck1_relay.csv,4bb5cb5852187c81b685212162a2bdbe5f849aa71d3b867ae9d30302faba5c1c,4bb5cb5852187c81b685212162a2bdbe5f849aa71d3b867ae9d30302faba5c1c,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/epuck2_counter.json,119a6264c3edae767ef709f3abf2db8f7a1a31f99a4e6d3be99e0def4fe19eb9,119a6264c3edae767ef709f3abf2db8f7a1a31f99a4e6d3be99e0def4fe19eb9,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/epuck2_relay.csv,68a0e52fb384973af7ca7409bcbc1a25b09164b3a4a4fd3c9e529e847a647c0d,68a0e52fb384973af7ca7409bcbc1a25b09164b3a4a4fd3c9e529e847a647c0d,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/execution.log,c3175ecea36abcb28041643fb8aa61977df81b2e1a6fdefa267dcada34bb508e,c3175ecea36abcb28041643fb8aa61977df81b2e1a6fdefa267dcada34bb508e,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/frozen_params.json,4ba7b518add3a2608cea7c6a182c16ec9ce20c1478959431796dbf83e8a6e474,4ba7b518add3a2608cea7c6a182c16ec9ce20c1478959431796dbf83e8a6e474,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/relay_counter.log,ce191b925064116344bbabd9fd0dfb83c4004fc5f1f114470b3bb7d374dc4071,ce191b925064116344bbabd9fd0dfb83c4004fc5f1f114470b3bb7d374dc4071,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/simulation.log,beb871b0e59ade90155cd2fd8e88d708d9c30764b17ca43a075d56dcb1afbc0c,beb871b0e59ade90155cd2fd8e88d708d9c30764b17ca43a075d56dcb1afbc0c,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/state_epuck1.log,6411e00cc50d23a5301c4ba2d9abe05589b86c7ed41293b086c89f7cb6580166,6411e00cc50d23a5301c4ba2d9abe05589b86c7ed41293b086c89f7cb6580166,True
3,objective5_impairment_matrix_v1_condition_G_trial03_attempt01_diag_logs/state_epuck2.log,aa27b9102b3e74798fb7f4380511ea587140083c1734adf332e46e284f2987df,aa27b9102b3e74798fb7f4380511ea587140083c1734adf332e46e284f2987df,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01/metadata.yaml,e73a312dd77553393b3dcf1991c6b9342f10e3313cce7e3c73f14a4b9d5db27f,e73a312dd77553393b3dcf1991c6b9342f10e3313cce7e3c73f14a4b9d5db27f,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01/objective5_impairment_matrix_v1_condition_G_trial04_attempt01_0.db3,e29b1756efc05ce40b29af711b4b2e2294b77bddef93e066e87001477c9dddac,e29b1756efc05ce40b29af711b4b2e2294b77bddef93e066e87001477c9dddac,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/bag_record.log,a29a82d919b5f2a52a62ef7b0569f6278900989ef56a7bbda0c5ccf438d325dc,a29a82d919b5f2a52a62ef7b0569f6278900989ef56a7bbda0c5ccf438d325dc,True
4,objective5_impairment_matrix_v1_condition_G_trial04_attempt01_diag_logs/controller.log,3b0b0bf3edecddd33f097b20e4b46bcb1c831629d42cd486f11865a48af088f5,3b0b0bf3edecddd33f097b20e4b46bcb1c831629d42cd486f11865a48af088f5,True
