time_s,center_separation_m
2.98770015,1.0
2.987783722,1.0
3.106084581,1.0
3.10610303,1.0
3.25109311,1.0
3.251605411,1.0
3.3634864,1.0
3.364435209,1.0
3.468803713,1.0
3.468815082,1.0
3.594948752,1.0
3.595415976,1.0
3.714832189,1.0
3.71487228,1.0
3.807063366,1.0
3.807109338,1.0
3.963787619,1.0
3.963877968,1.0
4.056547774,1.0
4.056984958,1.0
4.153210779,1.0
4.15414229,1.0
4.304175343,1.0
4.304189105,1.0
4.402202856,1.0
4.40355769,1.0
4.516213969,1.0
4.518093446,1.0
4.630337426,1.0
4.630375223,1.0
4.74434819,1.0
4.744927511,1.0
4.835668113,1.0
4.836508287,1.0
4.978632831,1.0
4.980305201,1.0
5.074533639,1.0
5.07493453,1.0
5.168454031,1.0
5.170030766,1.0
5.315389855,1.0
5.316335636,1.0
5.405277311,1.0
5.405982558,1.0
5.540377102,1.0
5.540393755,1.0
5.652234736,1.0
5.652541287,1.0
5.768731128,1.0
5.769322491,1.0
5.885412105,1.0
5.885444115,1.0
6.018194427,1.0
6.02135825,1.0
6.113896294,1.0
6.115293274,1.0
6.208845673,1.0
6.209330911,1.0
6.369668614,1.0
6.36967709,1.0
6.460914285,1.0
6.462684318,1.0
6.597041023,1.0
6.598279248,1.0
6.708628815,1.0
6.709100392,1.0
6.819859041,1.0
6.819868813,1.0
6.934869053,1.0
6.935827931,1.0
7.066962169,1.0
7.067004848,1.0
7.160925029,1.0
7.160930813,1.0
7.259361589,1.0
7.259377145,1.0
7.389057012,1.0
7.389597179,1.0
7.481673295,1.0
7.481695532,1.0
7.617199266,1.0
7.617833865,1.0
7.726182786,1.0
7.727342892,1.0
7.846874432,1.0
7.846902751,1.0
7.956936626,1.0
7.957412162,1.0
8.094041075,1.0
8.094058226,1.0
8.188070942,1.0
8.190109097,1.0
8.303249664,1.0
8.303252356,1.0
8.417815742,1.0
8.417849545,1.0
8.511529715,1.0
8.515055505,1.0
8.65648565,1.0
8.656512573,1.0
8.765988348,1.0
8.766003405,1.0
8.892567132,1.0
8.892580864,1.0
9.007116571,1.0
9.008314779,1.0
9.123415008,1.0
9.123760829,1.0
9.265017567,1.0
9.265034126,1.0
