unix_time_s,cpu_percent,mem_used_mb,mem_available_mb,net_rx_bytes_delta,net_tx_bytes_delta,wifi_link_quality,wifi_signal_dbm
1784386375.115,13.72,214.38,150.15,3208,40485,70.0,-36.0
1784386376.120,14.07,214.38,150.15,2952,37858,70.0,-36.0
1784386377.127,14.95,214.32,150.21,3210,42089,70.0,-36.0
1784386378.133,15.44,214.32,150.21,2907,36479,70.0,-37.0
1784386379.139,14.81,214.38,150.15,3207,40211,70.0,-37.0
1784386380.145,14.53,214.38,150.15,2951,36940,70.0,-37.0
1784386381.151,15.44,214.38,150.15,2913,35732,70.0,-35.0
1784386382.156,13.93,214.38,150.15,3208,41121,70.0,-35.0
1784386383.162,14.53,214.38,150.15,2987,37513,70.0,-37.0
1784386384.169,14.78,214.44,150.09,3209,39774,70.0,-37.0
1784386385.176,14.39,214.44,150.09,2910,36809,70.0,-36.0
1784386386.182,14.53,214.44,150.09,3208,41335,70.0,-36.0
1784386387.188,13.43,214.43,150.10,2949,36286,70.0,-36.0
1784386388.194,14.99,214.43,150.10,3210,36678,70.0,-37.0
1784386389.200,13.50,214.43,150.10,3054,40661,70.0,-38.0
1784386390.206,13.03,214.43,150.10,2912,36111,70.0,-37.0
1784386391.212,12.63,214.43,150.10,3208,39647,70.0,-37.0
1784386392.219,15.06,214.43,150.10,2908,37344,70.0,-36.0
1784386393.225,15.06,214.49,150.04,2949,36526,70.0,-37.0
1784386394.231,13.90,214.49,150.04,3204,40141,70.0,-36.0
1784386395.237,14.29,214.49,150.04,2950,39586,70.0,-37.0
1784386396.243,14.18,214.61,149.93,3209,40770,70.0,-37.0
1784386397.250,14.18,214.55,149.98,2952,36411,70.0,-35.0
1784386398.256,13.93,214.61,149.93,3208,40784,70.0,-28.0
1784386399.262,13.61,214.61,149.93,2910,36562,70.0,-29.0
1784386400.269,13.32,214.61,149.93,3157,36203,70.0,-28.0
1784386401.275,13.86,214.61,149.93,3003,40774,70.0,-29.0
1784386402.281,13.18,214.61,149.93,2951,35938,70.0,-28.0
1784386403.289,14.60,214.72,149.81,3156,40293,70.0,-29.0
1784386404.296,16.18,214.94,149.59,2965,36758,70.0,-28.0
1784386405.301,12.97,215.00,149.53,2951,36723,70.0,-28.0
1784386406.308,15.44,214.92,149.61,3436,40194,70.0,-28.0
1784386407.313,15.72,214.98,149.55,2964,37688,70.0,-28.0
1784386408.319,14.57,214.98,149.55,3031,37019,70.0,-28.0
1784386409.330,14.46,214.98,149.55,3168,39929,70.0,-28.0
1784386410.336,14.04,215.04,149.49,2952,37393,70.0,-28.0
1784386411.342,13.90,215.04,149.49,3207,40116,70.0,-29.0
1784386412.348,13.86,214.98,149.55,2912,37527,70.0,-28.0
1784386413.354,13.65,214.98,149.55,2991,38329,70.0,-28.0
1784386414.360,12.97,214.98,149.55,3168,41274,70.0,-28.0
1784386415.366,15.20,214.98,149.55,2952,36408,70.0,-29.0
1784386416.373,13.47,215.10,149.43,3325,41992,70.0,-29.0
1784386417.380,13.40,214.95,149.58,2911,35992,70.0,-28.0
1784386418.388,16.55,215.01,149.52,2910,36143,70.0,-28.0
1784386419.394,15.06,214.95,149.58,3218,41841,70.0,-28.0
1784386420.399,13.68,214.95,149.58,2949,36314,70.0,-29.0
1784386421.405,13.22,214.95,149.58,3169,39844,70.0,-28.0
1784386422.412,14.36,214.95,149.58,2951,37408,70.0,-28.0
1784386423.419,13.65,214.95,149.58,2953,36424,70.0,-29.0
1784386424.426,14.46,214.95,149.58,3208,40503,70.0,-28.0
1784386425.433,13.25,215.01,149.52,2911,37360,70.0,-28.0
1784386426.440,13.68,215.01,149.52,3248,40356,70.0,-29.0
1784386427.447,13.90,215.07,149.46,2910,36956,70.0,-29.0
1784386428.454,14.25,215.07,149.46,2963,36934,70.0,-29.0
1784386429.460,13.90,215.06,149.47,3210,39887,70.0,-28.0
1784386430.467,15.82,215.00,149.53,2952,36409,70.0,-28.0
1784386431.473,14.21,215.06,149.47,3247,40997,70.0,-29.0
