time_s,linear_mps,angular_rps
45.277594831,0.015,0.0
45.312899216,0.015,0.0
45.35270553,0.015,0.0
45.427039276,0.015,0.0
45.492063379,0.015,0.0
45.550458879,0.015,0.0
45.587016989,0.015,0.0
45.640436187,0.015,0.0
45.677533664,0.015,0.0
45.738810492,0.015,0.0
45.824192675,0.015,0.0
45.86226828,0.015,0.0
45.900488929,0.015,0.0
45.956416589,0.015,0.0
45.973366946,0.015,0.0
45.986338849,0.015,0.0
45.994630139,0.015,0.0
46.003859971,0.015,0.0
46.012044967,0.015,0.0
46.019038837,0.015,0.0
46.031435875,0.015,0.0
46.03671805,0.015,0.0
46.04614457,0.015,0.0
46.054163177,0.015,0.0
46.059749233,0.015,0.0
46.070712859,0.015,0.0
46.080562353,0.015,0.0
46.091231997,0.015,0.0
46.097927485,0.015,0.0
46.109747558,0.015,0.0
46.117385888,0.015,0.0
46.123185931,0.015,0.0
46.131752004,0.015,0.0
46.138402195,0.015,0.0
46.143118405,0.015,0.0
46.155639335,0.015,0.0
46.161158396,0.015,0.0
46.17294727,0.015,0.0
46.177890266,0.015,0.0
46.184966531,0.015,0.0
46.198460701,0.015,0.0
46.202294365,0.015,0.0
46.207495245,0.015,0.0
46.218989339,0.015,0.0
46.224493,0.015,0.0
46.232903883,0.015,0.0
46.242262107,0.015,0.0
46.250785383,0.015,0.0
46.259636238,0.015,0.0
46.270511669,0.015,0.0
46.280722941,0.015,0.0
46.289495702,0.015,0.0
46.295344842,0.015,0.0
46.307553191,0.015,0.0
46.314058991,0.015,0.0
46.325057214,0.015,0.0
46.332426661,0.015,0.0
46.343885556,0.015,0.0
46.3513103,0.015,0.0
46.359122219,0.015,0.0
46.371191377,0.015,0.0
46.378179647,0.015,0.0
46.387471975,0.015,0.0
46.397274772,0.015,0.0
46.40316981,0.015,0.0
46.41568094,0.015,0.0
46.42202555,0.015,0.0
46.433807725,0.015,0.0
46.43957727,0.015,0.0
46.446389951,0.015,0.0
46.459076271,0.015,0.0
46.464983308,0.015,0.0
46.474590417,0.014068327300000192,-0.027950180999994245
46.482804912,0.013275196099996264,-0.051744117000112055
46.489830079,0.01252243240000098,-0.0743270279999706
46.50152416,0.011326685899998665,-0.11019942300004004
46.507810574,0.010721153199997389,-0.12836540400007834
46.519459257,0.01,-0.16333635299997695
46.52395728,0.01,-0.17629195800009256
46.5317602,0.01,-0.20022148500009962
46.543190597,0.01,-0.23482945799997879
46.549346519,0.01,-0.2534829090001267
46.554138024,0.01,-0.26717916600000535
46.565940998,0.01,-0.30121147500000234
46.572015624,0.01,-0.3197638320000351
46.585452398,0.01,-0.3611609849999695
46.59013611,0.01,-0.37652574000009054
46.604175546,0.01,-0.4166779710001265
46.612798116,0.01,-0.4433862300000442
46.61841717,0.01,-0.45
46.631289579,0.01,-0.45
46.637736082,0.01,-0.45
