unix_time_s,cpu_percent,mem_used_mb,mem_available_mb
1784380531.850,3.53,660.86,3255.76
1784380532.852,3.53,660.86,3255.76
1784380533.854,4.01,660.86,3255.76
1784380534.856,3.53,660.86,3255.76
1784380535.857,3.76,660.64,3255.97
1784380536.202,1.77,660.64,3255.97
1784380537.204,2.03,660.64,3255.97
1784380538.204,4.25,660.64,3255.97
1784380539.206,4.25,660.64,3255.97
1784380540.208,3.77,660.64,3255.97
1784380541.210,4.74,660.64,3255.97
1784380542.211,3.53,660.64,3255.97
1784380543.212,3.77,660.64,3255.97
1784380544.214,2.54,660.64,3255.97
1784380545.215,3.28,660.64,3255.97
1784380546.218,3.76,660.55,3256.06
1784380547.219,3.77,660.55,3256.06
1784380548.221,4.01,660.55,3256.06
1784380549.222,7.59,670.01,3246.60
1784380550.223,9.30,660.88,3255.73
1784380551.224,3.05,660.88,3255.73
1784380552.225,3.78,661.13,3255.48
1784380553.228,3.53,661.25,3255.36
1784380554.229,3.28,661.31,3255.30
1784380555.231,3.04,661.31,3255.30
1784380556.233,3.28,661.31,3255.30
1784380557.235,2.79,661.31,3255.30
1784380558.237,3.77,660.74,3255.87
1784380559.238,3.77,660.74,3255.87
1784380560.240,5.22,660.74,3255.87
1784380561.242,5.21,660.71,3255.90
1784380562.243,3.52,660.69,3255.92
1784380563.244,4.01,660.69,3255.92
1784380564.246,3.05,660.69,3255.92
1784380565.247,3.28,660.67,3255.94
1784380566.249,3.04,660.67,3255.94
1784380567.251,3.04,660.67,3255.94
1784380567.599,3.26,660.63,3255.98
1784380568.601,1.02,660.63,3255.98
1784380569.603,3.53,660.63,3255.98
1784380570.605,3.27,660.63,3255.98
1784380571.606,3.29,660.59,3256.02
1784380572.607,4.00,660.59,3256.02
1784380573.608,2.55,660.59,3256.02
1784380574.610,3.53,660.59,3256.02
1784380575.611,2.79,660.59,3256.02
1784380576.613,2.30,660.54,3256.07
1784380577.615,4.26,660.54,3256.07
1784380578.616,3.29,660.49,3256.12
1784380579.617,3.28,660.39,3256.23
1784380580.619,3.53,660.39,3256.23
1784380581.621,4.25,660.39,3256.23
1784380582.623,2.79,660.39,3256.23
1784380583.625,3.52,660.39,3256.23
1784380584.627,3.03,660.38,3256.23
1784380585.629,1.55,660.38,3256.23
1784380586.630,3.04,660.38,3256.23
1784380587.632,3.28,660.38,3256.23
1784380588.634,4.01,660.38,3256.23
1784380589.636,3.53,660.38,3256.23
1784380590.638,2.54,660.38,3256.23
1784380591.639,4.26,660.34,3256.27
1784380592.639,3.03,660.34,3256.27
1784380593.641,2.54,660.34,3256.27
1784380594.643,3.54,660.34,3256.27
1784380595.645,1.79,660.34,3256.27
1784380596.648,2.54,660.14,3256.48
1784380597.649,2.29,660.14,3256.48
1784380598.651,1.80,660.13,3256.48
1784380598.983,2.54,660.13,3256.48
1784380599.985,2.49,660.13,3256.48
1784380600.987,4.02,660.13,3256.48
1784380601.988,3.03,660.01,3256.61
1784380602.991,4.00,660.01,3256.61
1784380603.993,3.76,660.01,3256.61
1784380604.994,4.50,660.01,3256.61
1784380605.996,4.73,659.94,3256.68
1784380606.998,3.77,659.94,3256.68
1784380608.000,3.30,659.94,3256.68
1784380609.001,4.25,659.87,3256.74
1784380610.003,4.74,659.87,3256.74
1784380611.005,4.01,659.85,3256.77
1784380612.007,3.27,659.78,3256.84
1784380613.009,3.53,659.78,3256.84
1784380614.010,4.49,659.78,3256.84
1784380615.012,3.53,659.78,3256.84
1784380616.014,3.78,659.78,3256.84
1784380617.016,3.04,659.78,3256.84
1784380618.017,3.52,659.78,3256.84
1784380619.018,4.73,659.78,3256.84
1784380620.020,4.73,659.77,3256.84
1784380621.021,4.52,659.66,3256.96
1784380622.023,3.78,659.66,3256.96
1784380623.024,3.77,659.66,3256.96
1784380624.026,3.03,659.66,3256.96
1784380625.027,3.53,659.66,3256.96
1784380626.029,3.29,659.54,3257.08
1784380627.030,5.46,659.54,3257.08
1784380628.032,5.67,659.54,3257.08
