wsl_unix_time_s,connected,rx_count,crc_errors,last_rtt_ms,estimated_one_way_ms,wall_clock_delta_ms,last_state_age_s,state_seq_first,state_seq_last,state_unique_received,state_missing,state_out_of_order,state_delivery_ratio
1784380376.304,True,7099,0,10.096558000441291,5.048279000220646,618.894100189209,0.06430363655090332,0,7098,7099,0,0,1.0
1784380377.303,True,7108,0,8.204513000237057,4.1022565001185285,638.7200355529785,0.07737588882446289,0,7107,7108,0,0,1.0
1784380378.303,True,7117,0,6.391881000126887,3.1959405000634433,659.024715423584,0.10524749755859375,0,7116,7117,0,0,1.0
1784380379.304,True,7133,0,6.576941000275838,3.288470500137919,37.184715270996094,0.03235006332397461,0,7132,7133,0,0,1.0
1784380380.303,True,7142,0,6.919400000697351,3.4597000003486755,57.988882064819336,0.04822683334350586,0,7141,7142,0,0,1.0
1784380381.303,True,7151,0,7.491525000659749,3.7457625003298745,78.20391654968262,0.0702967643737793,0,7150,7151,0,0,1.0
1784380382.304,True,7160,0,9.04938000076072,4.52469000038036,98.35171699523926,0.09503650665283203,0,7159,7160,0,0,1.0
1784380383.304,True,7170,0,6.382788999871991,3.1913944999359956,122.15733528137207,0.006082773208618164,0,7169,7170,0,0,1.0
1784380384.305,True,7179,0,6.578245000127936,3.289122500063968,139.49322700500488,0.009547710418701172,0,7178,7179,0,0,1.0
1784380385.303,True,7188,0,7.611558999997214,3.805779499998607,160.25424003601074,0.0384364128112793,0,7187,7188,0,0,1.0
1784380386.303,True,7197,0,16.75676000013482,8.37838000006741,189.1193389892578,0.04458904266357422,0,7196,7197,0,0,1.0
1784380387.303,True,7206,0,6.467196999437874,3.233598499718937,198.92048835754395,0.07420825958251953,0,7205,7206,0,0,1.0
1784380388.303,True,7215,0,6.922921000295901,3.4614605001479504,218.86515617370605,0.10196399688720703,0,7214,7215,0,0,1.0
1784380389.305,True,7225,0,8.840941999551433,4.420470999775716,241.30988121032715,0.014600038528442383,0,7224,7225,0,0,1.0
1784380390.306,True,7234,0,18.20405199941888,9.10202599970944,269.2749500274658,0.013177156448364258,0,7233,7234,0,0,1.0
1784380391.303,True,7243,0,7.763747999888437,3.8818739999442187,280.7009220123291,0.04131937026977539,0,7242,7243,0,0,1.0
1784380392.304,True,7252,0,7.426176000080886,3.713088000040443,301.0859489440918,0.060044288635253906,0,7251,7252,0,0,1.0
1784380393.303,True,7261,0,10.12328099932347,5.061640499661735,323.47750663757324,0.07481026649475098,0,7260,7261,0,0,1.0
1784380394.303,True,7270,0,8.010163999642828,4.005081999821414,340.4064178466797,0.09991741180419922,0,7269,7270,0,0,1.0
1784380395.304,True,7280,0,111.32179699961853,55.660898499809264,363.45791816711426,0.006331682205200195,0,7279,7280,0,0,1.0
1784380396.303,True,7289,0,116.7104960004508,58.3552480002254,383.8920593261719,0.029682159423828125,0,7288,7289,0,0,1.0
1784380397.303,True,7298,0,118.75154500012286,59.37577250006143,403.43475341796875,0.047064781188964844,0,7297,7298,0,0,1.0
1784380398.304,True,7307,0,12.819774000490725,6.409887000245362,424.11136627197266,0.05640983581542969,0,7306,7307,0,0,1.0
1784380399.303,True,7316,0,6.787868999708735,3.3939344998543675,443.4475898742676,0.07035231590270996,0,7315,7316,0,0,1.0
1784380400.304,True,7325,0,7.004807999692275,3.5024039998461376,463.29402923583984,0.07945919036865234,0,7324,7325,0,0,1.0
1784380401.304,True,7334,0,6.728045999807364,3.364022999903682,483.4325313568115,0.09754729270935059,0,7333,7334,0,0,1.0
1784380402.306,True,7344,0,116.32523899970693,58.16261949985346,505.4516792297363,0.01750659942626953,0,7343,7344,0,0,1.0
1784380403.304,True,7353,0,6.819211000220093,3.4096055001100467,525.4561901092529,0.03478074073791504,0,7352,7353,0,0,1.0
1784380404.304,True,7362,0,117.10938199939847,58.55469099969923,547.0602512359619,0.05386471748352051,0,7361,7362,0,0,1.0
1784380405.304,True,7371,0,17.39671100040141,8.698355500200705,566.2720203399658,0.07511663436889648,0,7370,7371,0,0,1.0
1784380406.304,True,7380,0,16.888207999727456,8.444103999863728,585.951566696167,0.09549641609191895,0,7379,7380,0,0,1.0
1784380407.305,True,7390,0,8.436894999249489,4.2184474996247445,609.2233657836914,0.01411294937133789,0,7389,7390,0,0,1.0
1784380408.304,True,7399,0,7.49894000000495,3.749470000002475,628.2916069030762,0.03388047218322754,0,7398,7399,0,0,1.0
1784380409.304,True,7408,0,7.523641999796382,3.761820999898191,647.9666233062744,0.059139251708984375,0,7407,7408,0,0,1.0
1784380410.304,True,7423,0,112.43123099939112,56.21561549969556,25.082111358642578,0.10104131698608398,0,7422,7423,0,0,1.0
1784380411.306,True,7433,0,116.73261399937473,58.36630699968737,46.89836502075195,0.007756710052490234,0,7432,7433,0,0,1.0
1784380412.303,True,7442,0,117.32617200050299,58.663086000251496,67.27409362792969,0.025806665420532227,0,7441,7442,0,0,1.0
1784380413.304,True,7451,0,7.972254999913275,3.9861274999566376,86.92288398742676,0.055777788162231445,0,7450,7451,0,0,1.0
1784380414.303,True,7460,0,6.780851999792503,3.3904259998962516,105.52024841308594,0.08670926094055176,0,7459,7460,0,0,1.0
1784380415.304,True,7470,0,6.2815250003041,3.14076250015205,127.75945663452148,0.004157304763793945,0,7469,7470,0,0,1.0
1784380416.303,True,7479,0,6.807357999605301,3.4036789998026507,147.23515510559082,0.021303415298461914,0,7478,7479,0,0,1.0
1784380417.304,True,7488,0,7.978439999533293,3.9892199997666467,167.39416122436523,0.03872323036193848,0,7487,7488,0,0,1.0
1784380418.304,True,7497,0,6.781740000405989,3.3908700002029946,187.5016689300537,0.03436875343322754,0,7496,7497,0,0,1.0
1784380419.304,True,7506,0,13.204623000092397,6.6023115000461985,207.86452293395996,0.052393436431884766,0,7505,7506,0,0,1.0
1784380420.304,True,7515,0,6.891459000144096,3.445729500072048,227.18453407287598,0.07725143432617188,0,7514,7515,0,0,1.0
1784380421.303,True,7524,0,9.951947999979893,4.975973999989947,250.2751350402832,0.0911705493927002,0,7523,7524,0,0,1.0
1784380422.304,True,7534,0,6.76367400046729,3.381837000233645,269.09661293029785,0.012488126754760742,0,7533,7534,0,0,1.0
1784380423.304,True,7543,0,10.279043999616988,5.139521999808494,288.90371322631836,0.0402984619140625,0,7542,7543,0,0,1.0
1784380424.303,True,7552,0,119.20997900051589,59.60498950025794,311.4008903503418,0.059381723403930664,0,7551,7552,0,0,1.0
1784380425.304,True,7561,0,7.227676999718824,3.613838499859412,328.95469665527344,0.08561563491821289,0,7560,7561,0,0,1.0
1784380426.304,True,7571,0,7.630149999386049,3.8150749996930244,350.7063388824463,0.005418300628662109,0,7570,7571,0,0,1.0
1784380427.304,True,7580,0,9.512170000562037,4.756085000281018,372.6527690887451,0.012908458709716797,0,7579,7580,0,0,1.0
1784380428.303,True,7589,0,7.265750999977172,3.632875499988586,389.909029006958,0.04559040069580078,0,7588,7589,0,0,1.0
1784380429.304,True,7598,0,6.377001999680942,3.188500999840471,409.7597599029541,0.06568384170532227,0,7597,7598,0,0,1.0
1784380430.303,True,7607,0,12.487389999478182,6.243694999739091,430.93252182006836,0.07576680183410645,0,7606,7607,0,0,1.0
1784380431.303,True,7616,0,7.751919999464008,3.875959999732004,450.4516124725342,0.10286664962768555,0,7615,7616,0,0,1.0
1784380432.304,True,7626,0,8.58783800049423,4.293919000247115,473.07753562927246,0.024370908737182617,0,7625,7626,0,0,1.0
1784380433.304,True,7635,0,8.44554099967354,4.22277049983677,493.178129196167,0.03572845458984375,0,7634,7635,0,0,1.0
1784380434.303,True,7644,0,7.110868000381743,3.5554340001908713,512.6798152923584,0.05449414253234863,0,7643,7644,0,0,1.0
1784380435.304,True,7653,0,6.74838900067698,3.37419450033849,531.3291549682617,0.07299566268920898,0,7652,7653,0,0,1.0
1784380436.303,True,7662,0,6.381623000379477,3.1908115001897386,551.9816875457764,0.0969839096069336,0,7661,7662,0,0,1.0
1784380437.304,True,7671,0,7.31104399983451,3.655521999917255,572.1726417541504,0.11226058006286621,0,7670,7671,0,0,1.0
1784380438.305,True,7681,0,6.67407600030856,3.33703800015428,594.9065685272217,0.013962984085083008,0,7680,7681,0,0,1.0
1784380439.303,True,7690,0,119.24170699967362,59.62085349983681,616.1754131317139,0.04040241241455078,0,7689,7690,0,0,1.0
1784380440.303,True,7699,0,15.032513999358343,7.516256999679172,633.6219310760498,0.06294536590576172,0,7698,7699,0,0,1.0
1784380441.303,True,7708,0,118.54317599954811,59.271587999774056,655.2181243896484,0.08422088623046875,0,7707,7708,0,0,1.0
1784380442.303,True,7723,0,9.612259999812522,4.806129999906261,32.064199447631836,0.10128283500671387,0,7722,7723,0,0,1.0
1784380443.305,True,7733,0,7.093913000062457,3.5469565000312286,54.79121208190918,0.012719869613647461,0,7732,7733,0,0,1.0
1784380444.304,True,7742,0,7.809998999618983,3.9049994998094917,75.13785362243652,0.034024715423583984,0,7741,7742,0,0,1.0
1784380445.303,True,7751,0,7.730592999905639,3.8652964999528194,94.8035717010498,0.057763099670410156,0,7750,7751,0,0,1.0
1784380446.304,True,7760,0,7.74171800003387,3.870859000016935,114.48812484741211,0.08410096168518066,0,7759,7760,0,0,1.0
1784380447.304,True,7769,0,6.2698450001335,3.13492250006675,133.12268257141113,0.10200834274291992,0,7768,7769,0,0,1.0
1784380448.305,True,7779,0,6.260658999963198,3.130329499981599,156.60405158996582,0.012775421142578125,0,7778,7779,0,0,1.0
1784380449.303,True,7788,0,7.102259000021149,3.5511295000105747,175.0466823577881,0.03401827812194824,0,7787,7788,0,0,1.0
1784380450.303,True,7797,0,7.011935000264202,3.505967500132101,199.16391372680664,0.04607868194580078,0,7796,7797,0,0,1.0
1784380451.304,True,7806,0,7.759840999824519,3.8799204999122594,214.9646282196045,0.07748889923095703,0,7805,7806,0,0,1.0
1784380452.304,True,7815,0,6.68339899948478,3.34169949974239,235.33177375793457,0.09557437896728516,0,7814,7815,0,0,1.0
1784380453.305,True,7825,0,114.62430299980042,57.31215149990021,256.4396858215332,0.0034809112548828125,0,7824,7825,0,0,1.0
1784380454.305,True,7834,0,115.35659400033182,57.67829700016591,276.3984203338623,0.02416062355041504,0,7833,7834,0,0,1.0
1784380455.303,True,7843,0,8.941243999288417,4.470621999644209,297.76501655578613,0.032341718673706055,0,7842,7843,0,0,1.0
1784380456.304,True,7852,0,9.697565999886137,4.848782999943069,318.13955307006836,0.06102442741394043,0,7851,7852,0,0,1.0
1784380457.303,True,7861,0,117.23470200013253,58.617351000066265,337.6641273498535,0.07881021499633789,0,7860,7861,0,0,1.0
1784380458.304,True,7870,0,114.57767200045055,57.288836000225274,356.705904006958,0.10497403144836426,0,7869,7870,0,0,1.0
1784380459.304,True,7880,0,7.094122000125935,3.5470610000629677,378.13639640808105,0.014830827713012695,0,7879,7880,0,0,1.0
1784380460.304,True,7889,0,23.230944999340863,11.615472499670432,399.4143009185791,0.00803685188293457,0,7888,7889,0,0,1.0
1784380461.303,True,7898,0,6.355968000207213,3.1779840001036064,418.31016540527344,0.029950618743896484,0,7897,7898,0,0,1.0
1784380462.304,True,7907,0,113.74898299982306,56.87449149991153,437.7017021179199,0.0586395263671875,0,7906,7907,0,0,1.0
1784380463.304,True,7916,0,112.63339599918254,56.31669799959127,459.2318534851074,0.06588268280029297,0,7915,7916,0,0,1.0
1784380464.304,True,7925,0,117.26803199962887,58.63401599981444,477.8928756713867,0.09152793884277344,0,7924,7925,0,0,1.0
1784380465.306,True,7935,0,6.602665999707824,3.301332999853912,499.27401542663574,0.004648923873901367,0,7934,7935,0,0,1.0
1784380466.306,True,7944,0,11.339372000293224,5.669686000146612,520.4463005065918,0.01552438735961914,0,7943,7944,0,0,1.0
1784380467.305,True,7953,0,7.410455000353977,3.7052275001769885,540.0655269622803,0.044086456298828125,0,7952,7953,0,0,1.0
1784380468.304,True,7962,0,8.133323000038217,4.066661500019109,560.3072643280029,0.05634570121765137,0,7961,7962,0,0,1.0
1784380469.304,True,7971,0,114.42219099990325,57.211095499951625,579.7631740570068,0.06738567352294922,0,7970,7971,0,0,1.0
1784380470.304,True,7980,0,8.296228000290284,4.148114000145142,600.7461547851562,0.09826350212097168,0,7979,7980,0,0,1.0
1784380471.304,True,7990,0,6.684613000288664,3.342306500144332,620.7849979400635,0.023438692092895508,0,7989,7990,0,0,1.0
1784380472.303,True,7999,0,6.258705000618647,3.1293525003093237,640.0926113128662,0.05716347694396973,0,7998,7999,0,0,1.0
1784380473.304,True,8014,0,6.876287000523007,3.4381435002615035,20.464420318603516,0.09679770469665527,0,8013,8014,0,0,1.0
1784380474.305,True,8024,0,7.535308000115037,3.7676540000575187,42.043447494506836,0.02079319953918457,0,8023,8024,0,0,1.0
1784380475.304,True,8033,0,113.50329399920156,56.75164699960078,61.16342544555664,0.051538944244384766,0,8032,8033,0,0,1.0
1784380476.304,True,8042,0,12.3752350000359,6.18761750001795,81.71534538269043,0.06932234764099121,0,8041,8042,0,0,1.0
1784380477.304,True,8050,0,7.907122999313287,3.9535614996566437,99.79605674743652,0.19040513038635254,0,8049,8050,0,0,1.0
1784380478.304,True,8060,0,112.12677000003168,56.06338500001584,122.59650230407715,0.1069788932800293,0,8059,8060,0,0,1.0
1784380479.304,True,8069,0,131.90585100073804,65.95292550036902,154.2363166809082,0.11200976371765137,0,8068,8069,0,0,1.0
1784380480.304,True,8078,0,16.38886300042941,8.194431500214705,165.49921035766602,0.08867955207824707,0,8077,8078,0,0,1.0
1784380481.304,True,8086,0,132.9027829997358,66.4513914998679,181.48350715637207,0.19778704643249512,0,8085,8086,0,0,1.0
1784380482.304,True,8095,0,7.4152460001641884,3.7076230000820942,202.1028995513916,0.11664986610412598,0,8094,8095,0,0,1.0
1784380483.305,True,8104,0,10.225292999166413,5.112646499583207,224.5776653289795,0.009952783584594727,0,8103,8104,0,0,1.0
1784380484.304,True,8113,0,109.91853199993784,54.95926599996892,244.0505027770996,0.03513765335083008,0,8112,8113,0,0,1.0
1784380485.304,True,8122,0,6.748480999704043,3.3742404998520215,263.27037811279297,0.05830812454223633,0,8121,8122,0,0,1.0
1784380486.304,True,8131,0,118.88918800013926,59.44459400006963,285.53080558776855,0.08050847053527832,0,8130,8131,0,0,1.0
1784380487.304,True,8140,0,114.6707529997002,57.3353764998501,303.3714294433594,0.1039426326751709,0,8139,8140,0,0,1.0
1784380488.304,True,8150,0,7.244492000609171,3.6222460003045853,325.67358016967773,0.015313386917114258,0,8149,8150,0,0,1.0
1784380489.304,True,8159,0,6.3900009999997565,3.1950004999998782,344.80905532836914,0.03162789344787598,0,8158,8159,0,0,1.0
1784380490.304,True,8168,0,7.454032000168809,3.7270160000844044,365.0217056274414,0.05316329002380371,0,8167,8168,0,0,1.0
1784380491.304,True,8177,0,6.686399000500387,3.3431995002501935,384.74225997924805,0.07036161422729492,0,8176,8177,0,0,1.0
1784380492.304,True,8186,0,7.910262999757833,3.9551314998789167,405.0102233886719,0.09289264678955078,0,8185,8186,0,0,1.0
1784380493.305,True,8196,0,9.285796999392915,4.642898499696457,426.6054630279541,0.007903099060058594,0,8195,8196,0,0,1.0
1784380494.304,True,8205,0,6.714466000630637,3.3572330003153183,445.8024501800537,0.03835701942443848,0,8204,8205,0,0,1.0
1784380495.303,True,8214,0,6.629231999795593,3.3146159998977964,465.4278755187988,0.05024456977844238,0,8213,8214,0,0,1.0
1784380496.304,True,8223,0,6.5344129998266,3.2672064999133,485.78882217407227,0.07448124885559082,0,8222,8223,0,0,1.0
1784380497.304,True,8232,0,7.570083999780763,3.7850419998903817,505.71632385253906,0.09211087226867676,0,8231,8232,0,0,1.0
1784380498.304,True,8241,0,9.64948899945739,4.824744499728695,525.4080295562744,0.10775971412658691,0,8240,8241,0,0,1.0
1784380499.304,True,8251,0,6.8358159996932955,3.4179079998466477,547.3446846008301,0.014943361282348633,0,8250,8251,0,0,1.0
1784380500.303,True,8260,0,115.05153500002052,57.52576750001026,571.7589855194092,0.04130673408508301,0,8259,8260,0,0,1.0
1784380501.304,True,8269,0,111.78580799969495,55.892903999847476,586.9362354278564,0.062400102615356445,0,8268,8269,0,0,1.0
1784380502.304,True,8278,0,8.982686999843281,4.491343499921641,607.295036315918,0.07414436340332031,0,8277,8278,0,0,1.0
1784380503.303,True,8287,0,112.46745900007227,56.233729500036134,627.3043155670166,0.09302282333374023,0,8286,8287,0,0,1.0
1784380504.304,True,8296,0,117.11986299997079,58.559931499985396,647.768497467041,0.11037945747375488,0,8295,8296,0,0,1.0
1784380505.304,True,8312,0,19.285051999759162,9.642525999879581,28.60736846923828,0.005213260650634766,0,8311,8312,0,0,1.0
1784380506.304,True,8321,0,109.56415699911304,54.78207849955652,48.835039138793945,0.024399518966674805,0,8320,8321,0,0,1.0
1784380507.304,True,8330,0,119.08033399959095,59.540166999795474,69.97466087341309,0.037817955017089844,0,8329,8330,0,0,1.0
1784380508.303,True,8339,0,116.3170589998117,58.15852949990585,89.17784690856934,0.06415176391601562,0,8338,8339,0,0,1.0
1784380509.303,True,8348,0,115.6743869996717,57.83719349983585,108.42370986938477,0.08624148368835449,0,8347,8348,0,0,1.0
1784380510.303,True,8357,0,115.57824600004096,57.78912300002048,128.47089767456055,0.10593485832214355,0,8356,8357,0,0,1.0
1784380511.305,True,8367,0,6.801860000450688,3.400930000225344,149.94454383850098,0.02105093002319336,0,8366,8367,0,0,1.0
1784380512.303,True,8375,0,120.32455400003528,60.16227700001764,169.34657096862793,0.06685781478881836,0,8374,8375,0,0,1.0
1784380513.304,True,8384,0,136.40916700023809,68.20458350011904,193.96018981933594,0.03079986572265625,0,8383,8384,0,0,1.0
1784380514.303,True,8393,0,9.261112999411125,4.630556499705563,227.79226303100586,0.020485639572143555,0,8392,8393,0,0,1.0
1784380515.303,True,8401,0,152.3856860003434,76.1928430001717,231.9197654724121,0.06630921363830566,0,8400,8401,0,0,1.0
1784380516.303,True,8409,0,137.95772299999953,68.97886149999977,268.95689964294434,0.14133429527282715,0,8408,8409,0,0,1.0
1784380517.304,True,8419,0,18.13547099936841,9.067735499684204,272.432804107666,0.0039865970611572266,0,8418,8419,0,0,1.0
1784380518.304,True,8425,0,169.69313799927477,84.84656899963738,316.6787624359131,0.2623443603515625,0,8424,8425,0,0,1.0
1784380519.304,True,8436,0,6.951580000531976,3.475790000265988,311.92994117736816,0.04056286811828613,0,8435,8436,0,0,1.0
1784380520.303,True,8445,0,6.909407999955874,3.454703999977937,332.25393295288086,0.06863856315612793,0,8444,8445,0,0,1.0
1784380521.303,True,8454,0,10.648497000147472,5.324248500073736,353.26623916625977,0.08370614051818848,0,8453,8454,0,0,1.0
1784380522.303,True,8463,0,8.09157499952562,4.04578749976281,372.9074001312256,0.10423588752746582,0,8462,8463,0,0,1.0
1784380523.304,True,8473,0,7.701910000832868,3.850955000416434,395.263671875,0.02030467987060547,0,8472,8473,0,0,1.0
1784380524.303,True,8482,0,14.245239999581827,7.122619999790913,415.5251979827881,0.03719210624694824,0,8481,8482,0,0,1.0
1784380525.304,True,8491,0,10.201035000136471,5.100517500068236,435.8651638031006,0.055977582931518555,0,8490,8491,0,0,1.0
1784380526.303,True,8500,0,6.549968000399531,3.2749840001997654,456.03370666503906,0.07532644271850586,0,8499,8500,0,0,1.0
1784380527.304,True,8509,0,7.170922000113933,3.5854610000569664,477.3576259613037,0.07539248466491699,0,8508,8509,0,0,1.0
1784380528.303,True,8518,0,7.404420000057144,3.702210000028572,497.3864555358887,0.10383343696594238,0,8517,8518,0,0,1.0
1784380529.303,True,8528,0,110.70792999998957,55.35396499999479,519.0956592559814,0.02640080451965332,0,8527,8528,0,0,1.0
1784380530.304,True,8537,0,119.09738699978334,59.54869349989167,542.7663326263428,0.04643511772155762,0,8536,8537,0,0,1.0
