unix_time_s,cpu_percent,mem_used_mb,mem_available_mb,net_rx_bytes_delta,net_tx_bytes_delta,wifi_link_quality,wifi_signal_dbm
1784380249.116,14.14,167.64,196.89,2900,36311,70.0,-23.0
1784380250.122,13.61,167.70,196.84,2943,36521,70.0,-23.0
1784380251.127,14.79,167.64,196.89,2941,37329,70.0,-23.0
1784380252.134,14.04,167.64,196.89,2942,36533,70.0,-23.0
1784380253.142,15.29,167.64,196.89,3103,36887,70.0,-24.0
1784380254.148,15.38,167.70,196.84,2739,37048,70.0,-23.0
1784380255.154,15.23,167.64,196.89,2994,36333,70.0,-23.0
1784380256.160,14.74,167.70,196.84,2943,35904,70.0,-23.0
1784380257.166,15.48,167.70,196.84,2863,36917,70.0,-23.0
1784380258.172,13.65,167.70,196.84,2903,36300,70.0,-24.0
1784380259.178,14.53,167.67,196.86,2930,32971,70.0,-23.0
1784380260.184,15.69,167.67,196.86,2698,37182,70.0,-23.0
1784380261.190,14.95,167.67,196.86,2980,36510,70.0,-24.0
1784380262.196,14.91,167.67,196.86,2952,36519,70.0,-23.0
1784380263.203,15.00,167.61,196.92,2888,33397,70.0,-23.0
1784380264.210,15.10,167.60,196.93,2942,36731,70.0,-23.0
1784380265.215,14.71,167.60,196.93,2943,36312,70.0,-23.0
1784380266.221,15.27,167.60,196.93,2978,37952,70.0,-23.0
1784380267.228,13.00,167.65,196.88,2902,36331,70.0,-23.0
1784380268.233,15.40,167.59,196.94,2944,36328,70.0,-23.0
1784380269.239,14.95,167.53,197.00,2942,37345,70.0,-24.0
1784380270.245,12.97,167.53,197.00,2943,36546,70.0,-24.0
1784380271.251,15.78,167.45,197.09,2979,37036,70.0,-24.0
1784380272.256,16.42,167.56,196.97,2899,36994,70.0,-28.0
1784380273.262,15.20,167.56,196.97,2943,36126,70.0,-20.0
1784380274.268,16.02,167.55,196.98,2942,36403,70.0,-21.0
1784380275.275,15.27,167.55,196.98,2903,36854,70.0,-21.0
1784380276.282,13.93,167.55,196.98,2943,36303,70.0,-21.0
1784380277.288,14.99,167.61,196.92,2901,36194,70.0,-21.0
1784380278.296,15.21,167.55,196.98,2902,36874,70.0,-20.0
1784380279.301,15.74,167.61,196.92,2940,36313,70.0,-20.0
1784380280.307,15.23,167.67,196.86,2981,36715,70.0,-20.0
1784380281.314,13.61,167.60,196.93,2935,37328,70.0,-21.0
1784380282.321,15.61,167.67,196.86,2942,36324,70.0,-21.0
1784380283.326,14.85,167.84,196.69,2738,36293,70.0,-21.0
1784380284.332,15.02,167.90,196.63,2941,36646,70.0,-21.0
