time_s,center_separation_m
0.066878059,1.0
0.159614431,1.0
0.159910961,1.0
0.292933305,1.0
0.293367749,1.0
0.408339969,1.0
0.408371672,1.0
0.523433701,1.0
0.526219982,1.0
0.637588238,1.0
0.638634544,1.0
0.776502077,1.0
0.776741301,1.0
0.891658116,1.0
0.892366587,1.0
1.01051511,1.0
1.010518609,1.0
1.146170268,1.0
1.147235047,1.0
1.256443386,1.0
1.257019113,1.0
1.39297338,1.0
1.393972479,1.0
1.504623183,1.0
1.50576164,1.0
1.643094691,1.0
1.64326254,1.0
1.733658958,1.0
1.734287768,1.0
1.870111975,1.0
1.870307016,1.0
1.981345054,1.0
1.981406414,1.0
2.100563714,1.0
2.100835236,1.0
2.210917977,1.0
2.210930869,1.0
2.344047231,1.0
2.344061422,1.0
2.471575152,1.0
2.472467668,1.0
2.566395684,1.0
2.567275208,1.0
2.722336006,1.0
2.722365287,1.0
2.818304086,1.0
2.818319276,1.0
2.936831517,1.0
2.937234229,1.0
3.072746766,1.0
3.072772041,1.0
3.184242042,1.0
3.185547384,1.0
3.280582519,1.0
3.280597005,1.0
3.413065874,1.0
3.413616543,1.0
3.504450526,1.0
3.506885381,1.0
3.607571172,1.0
3.608756629,1.0
3.756301572,1.0
3.756317557,1.0
3.841527958,1.0
3.842461858,1.0
3.957922585,1.0
3.959102728,1.0
4.066103798,1.0
4.067659179,1.0
4.182767944,1.0
4.182802501,1.0
4.309583265,1.0
4.309699022,1.0
4.426776458,1.0
4.42839526,1.0
4.535832991,1.0
4.536876703,1.0
4.651983072,1.0
4.652099728,1.0
4.785535479,1.0
4.787838038,1.0
4.877897812,1.0
4.878750559,1.0
4.994663263,1.0
4.995389794,1.0
5.105140587,1.0
5.106776981,1.0
5.222918575,1.0
5.224419767,1.0
5.337672111,1.0
5.33768639,1.0
5.468622726,1.0
5.468625921,1.0
5.566006307,1.0
5.566028175,1.0
5.695975166,1.0
5.697299619,1.0
5.812587568,1.0
5.812901407,1.0
5.908349436,1.0
5.910796331,1.0
6.035351538,1.0
6.036570792,1.0
6.14509919,1.0
6.147469314,1.0
6.258816083,1.0
6.259108293,1.0
6.388415526,1.0
6.390884983,1.0
6.504588099,1.0
6.504605469,1.0
6.618270649,1.0
6.618474706,1.0
6.73011099,1.0
6.731836695,1.0
6.873961621,1.0
6.875645596,1.0
6.966263417,1.0
6.966384193,1.0
7.067083857,1.0
7.068790855,1.0
7.208395971,1.0
7.208398266,1.0
7.301483409,1.0
7.303941733,1.0
7.446925024,1.0
7.446979502,1.0
7.559448866,1.0
7.561518855,1.0
7.661858438,1.0
7.663171513,1.0
7.801351703,1.0
7.801365173,1.0
7.914977803,1.0
7.914992468,1.0
8.037215482,1.0
8.038534435,1.0
8.130159371,1.0
8.130887933,1.0
8.251453402,1.0
8.251473255,1.0
8.388099595,1.0
8.3893546,1.0
8.496135966,1.0
8.498292719,1.0
8.623817553,1.0
8.623821344,1.0
8.712235643,1.0
8.712741136,1.0
8.850943815,1.0
8.85286483,1.0
8.962552141,1.0
8.962732885,0.9998744130134583
9.068710928,0.9998744130134583
9.070124258,0.99924635887146
9.162065751,0.998367190361023
9.162255871,0.998367190361023
9.278811101,0.998367190361023
9.279335476,0.9964832067489624
9.403096407,0.9943479895591736
9.40361789,0.9943479895591736
9.513363816,0.9943479895591736
9.515880161,0.990831196308136
9.65829089,0.9883191585540771
9.660120769,0.9883191585540771
9.750865784,0.9883191585540771
9.751905957,0.9858071804046631
9.872625668,0.9858071804046631
9.87425635,0.9827927947044373
10.01117814,0.9827927947044373
10.013331938,0.9794015884399414
10.101785573,0.9794015884399414
10.10407571,0.9768896102905273
10.231861919,0.9768896102905273
10.23301008,0.9743775725364685
10.34504419,0.9743775725364685
10.346214192,0.9718655943870544
10.441506423,0.9718655943870544
10.442558338,0.9693536162376404
10.601690265,0.9693536162376404
10.60262888,0.9663391709327698
10.709471134,0.9663391709327698
10.709950465,0.963324785232544
10.850455304,0.963324785232544
10.851883324,0.9608128070831299
10.966990448,0.9608128070831299
10.968322679,0.9577983617782593
11.099216516,0.9577983617782593
11.100594322,0.9547839760780334
11.193957413,0.9547839760780334
11.193975264,0.9523975849151611
11.28831337,0.9498855769634247
11.289206012,0.9498855769634247
11.42371968,0.9498855769634247
11.424809977,0.9463687837123871
11.514034067,0.9463687837123871
11.51698504,0.9438567757606506
11.661065961,0.9428519904613495
11.662223374,0.9428519904613495
11.772932896,0.9428519904613495
11.774366747,0.9428519904613495
11.889521726,0.9428519904613495
11.889526912,0.9428519904613495
12.004334574,0.9428519904613495
12.004348834,0.9428519904613495
12.137515894,0.9428519904613495
12.138894569,0.9427902401178673
12.235028366,0.9427902401178673
12.236445432,0.9428514540230699
12.333116599,0.9428514540230699
12.333132255,0.9428514540230699
12.46369483,0.9428514540230699
12.463807409,0.9428514540230699
12.555354865,0.9428514540230699
12.556626444,0.9427936675737202
12.70162482,0.9427936675737202
12.70375655,0.9428503811490775
12.813357306,0.9428503811490775
12.814460366,0.9428503811490775
12.914067845,0.9428503811490775
12.915505235,0.9428503811490775
13.053572977,0.9428503811490775
13.053880177,0.9428503811490775
13.165436163,0.9428503811490775
13.166000909,0.9427997177350544
13.290145427,0.9427997177350544
13.290157591,0.9428487718370179
13.383968348,0.9428487718370179
13.385467059,0.9428487718370179
13.502527723,0.9428487718370179
13.503686729,0.9428487718370179
13.625907481,0.9428487718370179
13.62642337,0.9428487718370179
13.735660348,0.9428487718370179
13.736691229,0.9428467452931896
13.884040786,0.9428467452931896
