time_s,linear_mps,angular_rps
34.915659159,0.0,0.0
34.948361721,0.0,0.0
35.004730111,0.0,0.0
35.041837649,0.0,0.0
35.097021653,0.0,0.0
35.13758436,0.0,0.0
35.236869431,0.0,0.0
35.276766202,0.0,0.0
35.333792429,0.0,0.0
35.368502598,0.0,0.0
35.425758164,0.0,0.0
35.485163916,0.0,0.0
35.545972629,0.0,0.0
35.58465912,0.0,0.0
35.63828894,0.0,0.0
35.677808049,0.0,0.0
35.762372623,0.0,0.0
35.806416587,0.0,0.0
35.864677751,0.0,0.0
35.901908085,0.0,0.0
35.961023465,0.0,0.0
36.01490426,0.0,0.0
36.074994944,0.0,0.0
36.109011495,0.0,0.0
36.165196963,0.0,0.0
36.206389307,0.0,0.0
36.283750591,0.0,0.0
36.319931729,0.0,0.0
36.376344659,0.0,0.0
36.413025758,0.0,0.0
36.480713406,0.0,0.0
36.520785461,0.0,0.0
36.576447855,0.0,0.0
36.614138053,0.0,0.0
36.673087114,0.0,0.0
36.723217217,0.0,0.0
36.782354422,0.0,0.0
36.816453682,0.0,0.0
36.871608658,0.0027681411999992637,0.0
36.914264515,0.004900674000001005,0.0
36.993560526,0.008862113800000772,0.0
37.032155436,0.010771799599999101,0.0
37.087299509,0.013479816750000852,0.0
37.12512964,0.015,0.0
37.196928301,0.015,0.0
37.24494411,0.015,0.0
37.313222249,0.015,0.0
37.345539093,0.015,0.0
37.396842305,0.015,0.0
37.431651847,0.015,0.0
37.491175299,0.015,0.0
37.550392681,0.015,0.0
37.609608462,0.015,0.0
37.623958678,0.015,0.0
37.631957526,0.015,0.0
37.643934093,0.015,0.0
37.650126424,0.015,0.0
37.656193725,0.015,0.0
37.6673371,0.015,0.0
37.673351789,0.015,0.0
37.684270112,0.015,0.0
37.692131128,0.015,0.0
37.700754921,0.015,0.0
37.709199472,0.015,0.0
37.718680762,0.015,0.0
37.728762192,0.015,0.0
37.74035377,0.015,0.0
37.743480892,0.015,0.0
37.755549881,0.015,0.0
37.762098894,0.015,0.0
37.774627088,0.015,0.0
37.780329606,0.015,0.0
37.792118829,0.015,0.0
37.798462495,0.015,0.0
37.807825458,0.015,0.0
37.815573849,0.015,0.0
37.829481062,0.015,0.0
37.837930914,0.015,0.0
37.846671933,0.015,0.0
37.854958448,0.015,0.0
37.86535565,0.015,0.0
37.8729288,0.015,0.0
37.885154224,0.015,0.0
37.890914955,0.015,0.0
37.904524,0.015,0.0
37.910970189,0.015,0.0
37.927902801,0.015,0.0
37.932588384,0.015,0.0
37.944051432,0.015,0.0
37.949216025,0.015,0.0
37.958122283,0.015,0.0
37.971578192,0.015,0.0
37.977444247,0.015,0.0
37.987968179,0.015,0.0
37.998502012,0.015,0.0
38.007837969,0.015,0.0
38.017168825,0.015,0.0
38.026102189,0.015,0.0
38.035666499,0.015,0.0
38.045983782,0.015,0.0
38.058171298,0.015,0.0
38.064180887,0.015,0.0
38.078120007,0.015,0.0
38.086274791,0.015,0.0
38.102296293,0.015,0.0
38.11414323,0.015,0.0
38.128991561,0.015,0.0
38.14703613,0.015,0.0
38.158431762,0.015,0.0
38.175233944,0.015,0.0
38.187744835,0.015,0.0
38.200957888,0.015,0.0
38.219786938,0.015,0.0
38.227364389,0.015,0.0
38.241685797,0.015,0.0
38.250244275,0.015,0.0
38.266079933,0.015,0.0
38.278137319,0.015,0.0
38.290204207,0.015,0.0
38.303673219,0.015,0.0
38.314983332,0.015,0.0
38.323606524,0.015,0.0
