condition_id,trial_id,attempt_id,data_validity,task_outcome,delay_s,jitter_s,drop_probability,outage_period_s,outage_duration_s,outage_phase_s,seed_epuck1_to_epuck2,seed_epuck2_to_epuck1,minimum_interrobot_distance_m,safety_margin_m,completion_count,task_completion_time_s,stale_stop_duration_s,recovery_time_s,controller_crashed,configured_drop_probability,authoritative_drop_count_epuck1_to_epuck2,authoritative_drop_count_epuck2_to_epuck1,authoritative_drop_fraction_epuck1_to_epuck2,authoritative_drop_fraction_epuck2_to_epuck1,drop_mechanism,measured_message_age_mean_epuck1_to_epuck2,measured_message_age_mean_epuck2_to_epuck1,measured_message_age_p95_epuck1_to_epuck2,measured_message_age_p95_epuck2_to_epuck1,reordered_count_epuck1_to_epuck2,reordered_count_epuck2_to_epuck1,duplicate_count_epuck1_to_epuck2,duplicate_count_epuck2_to_epuck1,queue_drained,stale_state_episode_count,in_task_stale_episode_count,peer_timeout_events,bag_metadata_valid_proxy,analyzer_ok,evidence_hash_status,source_frozen_params_path,source_trial_verdict_path,source_matrix_analysis_path
C,objective5_impairment_matrix_v1_condition_C_trial01_attempt01,1,VALID,SUCCESS,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1413368685333981,0.0013368685333980945,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,1.0001793721973093,1.000221238938053,1.0,1.0,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_C_trial01_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_C_trial01_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_C_trial01_attempt01_analysis/matrix_analysis.json
C,objective5_impairment_matrix_v1_condition_C_trial02_attempt01,1,VALID,SUCCESS,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.14811357904635797,0.008113579046357955,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.9997752808988761,1.0002660753880264,1.0,1.0,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_C_trial02_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_C_trial02_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_C_trial02_attempt01_analysis/matrix_analysis.json
C,objective5_impairment_matrix_v1_condition_C_trial03_attempt01,1,VALID,SUCCESS,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.14942341444857474,0.009423414448574724,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,1.000175824175824,0.999954751133484,1.0,1.0,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_C_trial03_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_C_trial03_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_C_trial03_attempt01_analysis/matrix_analysis.json
C,objective5_impairment_matrix_v1_condition_C_trial04_attempt01,1,VALID,SUCCESS,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.14088588504310082,0.0008858850431008036,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,1.0001327433650442,1.0070588235315903,1.0,1.0,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_C_trial04_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_C_trial04_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_C_trial04_attempt01_analysis/matrix_analysis.json
C,objective5_impairment_matrix_v1_condition_C_trial05_attempt01,1,VALID,UNSAFE_FAILURE,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.13890857361707953,-0.0010914263829204796,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,1.000176600441501,1.0001333333333333,1.0,1.0,0,0,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_C_trial05_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_C_trial05_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_C_trial05_attempt01_analysis/matrix_analysis.json
D,objective5_impairment_matrix_v1_condition_D_trial01_attempt01,1,VALID,SUCCESS,0.15,0.3,0.0,0.0,0.0,0.0,4001,14001,0.1444723957613864,0.0044723957613863885,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.16350230413824737,0.15855813953255696,0.29999999999999716,0.29999999999999716,89,92,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_D_trial01_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_D_trial01_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_D_trial01_attempt01_analysis/matrix_analysis.json
D,objective5_impairment_matrix_v1_condition_D_trial02_attempt01,1,VALID,SUCCESS,0.15,0.3,0.0,0.0,0.0,0.0,4002,14002,0.1516223239385512,0.011622323938551199,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.1620930232441849,0.1578997613341276,0.29999999999999716,0.29999999999999716,91,83,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_D_trial02_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_D_trial02_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_D_trial02_attempt01_analysis/matrix_analysis.json
D,objective5_impairment_matrix_v1_condition_D_trial03_attempt01,1,VALID,SUCCESS,0.15,0.3,0.0,0.0,0.0,0.0,4003,14003,0.14016992055075728,0.0001699205507572632,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.16577367204849763,0.16468181816818056,0.29999999999999716,0.29999999999999716,80,78,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_D_trial03_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_D_trial03_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_D_trial03_attempt01_analysis/matrix_analysis.json
D,objective5_impairment_matrix_v1_condition_D_trial05_attempt01,1,VALID,SUCCESS,0.15,0.3,0.0,0.0,0.0,0.0,4005,14005,0.14919158786608294,0.009191587866082929,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.15287671232191657,0.1611235954988751,0.29999999999999716,0.29999999999999716,103,94,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_D_trial05_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_D_trial05_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_D_trial05_attempt01_analysis/matrix_analysis.json
D,objective5_impairment_matrix_v1_condition_D_trial06_attempt01,1,VALID,SUCCESS,0.15,0.3,0.0,0.0,0.0,0.0,4006,14006,0.14431858718680218,0.00431858718680217,2,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,False,0.0,0,0,0.0,0.0,NONE,0.1632634032564088,0.15972477063761362,0.29999999999999716,0.29999999999999716,96,94,0,0,True,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,VALID,True,CODE_IDENTITY_ONLY,../objective5_impairment_matrix_v1_condition_D_trial06_attempt01_analysis/frozen_params.json,../objective5_impairment_matrix_v1_condition_D_trial06_attempt01_analysis/trial_verdict.json,../objective5_impairment_matrix_v1_condition_D_trial06_attempt01_analysis/matrix_analysis.json
