condition_id,n_trials,success_count,safe_degradation_count,unsafe_failure_count,not_evaluable_count,min_distance_mean_m,min_distance_min_m,min_distance_max_m,safety_margin_mean_m,safety_margin_min_m,safety_margin_max_m
A,5,5,0,0,0,0.1467264690713815,0.14178534915907265,0.15064050840214138,0.0067264690713814915,0.0017853491590726356,0.010640508402141369
B,5,5,0,0,0,0.14465567593772535,0.1418936528990241,0.14777153762172363,0.004655675937725323,0.001893652899024073,0.007771537621723612
C,5,4,0,1,0,0.14373366413770222,0.13890857361707953,0.14942341444857474,0.0037336641377022197,-0.0010914263829204796,0.009423414448574724
D,5,5,0,0,0,0.14595496306071604,0.14016992055075728,0.1516223239385512,0.00595496306071599,0.0001699205507572632,0.011622323938551199
E,5,5,0,0,0,0.14725630796091027,0.14473378798227735,0.14953894800279266,0.007256307960910258,0.004733787982277332,0.009538948002792647
F,5,5,0,0,0,0.14809571702812344,0.1435979511442254,0.1519485791126714,0.0080957170281234,0.0035979511442253975,0.011948579112671387
G,5,4,0,1,0,0.14374153955653743,0.1396690407705024,0.1498907028615544,0.0037415395565374267,-0.00033095922949760714,0.009890702861554385
