unix_time_s,cpu_percent,mem_used_mb,mem_available_mb,net_rx_bytes_delta,net_tx_bytes_delta,wifi_link_quality,wifi_signal_dbm
1784387099.706,16.22,201.43,163.10,2950,37891,70.0,-36.0
1784387100.713,13.25,201.43,163.10,3209,39822,70.0,-36.0
1784387101.720,14.99,201.66,162.87,2909,36341,70.0,-36.0
1784387102.727,15.16,201.72,162.81,2951,36676,70.0,-36.0
1784387103.735,14.07,201.66,162.87,3206,40445,70.0,-36.0
1784387104.742,14.11,201.66,162.87,2910,35625,70.0,-37.0
1784387105.748,16.50,201.72,162.81,3162,40115,70.0,-35.0
1784387106.754,14.21,201.66,162.87,2952,36981,70.0,-35.0
1784387107.760,14.71,201.66,162.87,3209,40527,70.0,-36.0
1784387108.766,15.09,201.66,162.87,2913,36772,70.0,-36.0
1784387109.772,14.14,201.66,162.87,3167,40429,70.0,-35.0
1784387110.779,14.07,201.66,162.87,2953,36688,70.0,-35.0
1784387111.785,13.18,201.60,162.93,3117,36774,70.0,-36.0
1784387112.792,14.50,201.60,162.93,2964,40510,70.0,-36.0
1784387113.798,13.47,201.60,162.93,3003,36299,70.0,-36.0
1784387114.805,13.47,201.60,162.93,3376,41331,70.0,-37.0
1784387115.811,15.44,201.71,162.82,3003,36941,70.0,-36.0
1784387116.817,15.16,201.77,162.76,3126,41503,70.0,-36.0
1784387117.823,14.32,201.83,162.70,2953,38151,70.0,-36.0
1784387118.829,14.95,201.77,162.76,3207,40661,70.0,-37.0
1784387119.836,13.22,201.77,162.76,2910,36195,70.0,-36.0
1784387120.843,13.93,201.77,162.76,2950,37071,70.0,-36.0
1784387121.849,16.26,201.77,162.77,3246,40277,70.0,-36.0
1784387122.866,15.01,201.71,162.82,2951,36686,70.0,-37.0
1784387123.872,14.43,201.77,162.77,3516,41904,70.0,-35.0
1784387124.878,14.99,201.73,162.80,3042,38785,70.0,-37.0
1784387125.884,13.43,201.73,162.80,3116,40398,70.0,-36.0
1784387126.891,14.11,201.73,162.80,3001,36362,70.0,-38.0
1784387127.897,12.81,201.73,162.80,2912,36865,70.0,-36.0
1784387128.904,16.13,201.73,162.80,3246,41185,70.0,-36.0
1784387129.909,14.74,201.73,162.80,2951,37486,70.0,-35.0
1784387130.915,12.97,201.73,162.80,3208,40397,70.0,-36.0
1784387131.921,14.14,201.72,162.81,2913,37305,70.0,-37.0
1784387132.928,13.50,201.72,162.81,3208,40571,70.0,-36.0
1784387133.934,14.89,201.78,162.75,2953,36415,70.0,-36.0
1784387134.940,13.40,201.78,162.75,2910,36378,70.0,-36.0
1784387135.946,12.56,201.84,162.69,3246,40670,70.0,-36.0
