time_s,x_m,y_m,yaw_rad,front_distance_m,left_distance_m,right_distance_m
0.0,-0.550000011920929,0.0,0.0,0.23925405740737915,inf,inf
0.114393525,-0.550000011920929,0.0,0.0,0.23556920886039734,inf,inf
0.230191056,-0.550000011920929,0.0,0.0,0.24031691253185272,inf,inf
0.363022551,-0.550000011920929,0.0,0.0,0.2383843958377838,inf,inf
0.478779081,-0.550000011920929,0.0,0.0,0.23434610664844513,inf,inf
0.595799915,-0.550000011920929,0.0,0.0,0.23393221199512482,inf,inf
0.701201205,-0.550000011920929,0.0,0.0,0.23818346858024597,inf,inf
0.812589318,-0.550000011920929,0.0,0.0,0.23460370302200317,inf,inf
0.922415425,-0.550000011920929,0.0,0.0,0.23387987911701202,inf,inf
1.033801438,-0.550000011920929,0.0,0.0,0.2354692816734314,inf,inf
1.148016861,-0.550000011920929,0.0,0.0,0.23532535135746002,inf,inf
1.25012404,-0.550000011920929,0.0,0.0,0.2357151359319687,inf,inf
1.365695868,-0.550000011920929,0.0,0.0,0.2338547706604004,inf,inf
1.497535156,-0.550000011920929,0.0,0.0,0.23619627952575684,inf,inf
1.611059075,-0.550000011920929,0.0,0.0,0.23443302512168884,inf,inf
1.740746753,-0.550000011920929,0.0,0.0,0.23738278448581696,inf,inf
1.854830674,-0.550000011920929,0.0,0.0,0.23225408792495728,inf,inf
1.981568442,-0.550000011920929,0.0,0.0,0.23700308799743652,inf,inf
2.096931768,-0.550000011920929,0.0,0.0,0.23447276651859283,inf,inf
2.219333219,-0.550000011920929,0.0,0.0,0.23543010652065277,inf,inf
2.337166354,-0.550000011920929,0.0,0.0,0.2361927181482315,inf,inf
2.447408961,-0.550000011920929,0.0,0.0,0.23628172278404236,inf,inf
2.56410479,-0.550000011920929,0.0,0.0,0.23587414622306824,inf,inf
2.673192191,-0.550000011920929,0.0,0.0,0.23857960104942322,inf,inf
2.788207113,-0.550000011920929,0.0,0.0,0.23298124969005585,inf,inf
2.892643371,-0.550000011920929,0.0,0.0,0.23702211678028107,inf,inf
2.993998686,-0.550000011920929,0.0,0.0,0.23724158108234406,inf,inf
3.109263489,-0.550000011920929,0.0,0.0,0.23862610757350922,inf,inf
3.225093792,-0.550000011920929,0.0,0.0,0.2337108999490738,inf,inf
