received_seq,action,scheduled_delay_s,receive_time_s,release_time_s
0,forwarded,0.000000,12.640000,12.640000
1,forwarded,0.000000,12.640000,12.640000
2,forwarded,0.000000,12.640000,12.640000
3,forwarded,0.000000,12.660000,12.660000
4,forwarded,0.000000,12.660000,12.660000
5,forwarded,0.000000,12.660000,12.660000
6,forwarded,0.000000,12.660000,12.660000
7,forwarded,0.000000,12.660000,12.660000
8,forwarded,0.000000,12.760000,12.760000
9,forwarded,0.000000,12.880000,12.880000
10,forwarded,0.000000,13.000000,13.000000
11,forwarded,0.000000,13.120000,13.120000
12,forwarded,0.000000,13.220000,13.220000
13,forwarded,0.000000,13.340000,13.340000
14,forwarded,0.000000,13.460000,13.460000
15,forwarded,0.000000,13.580000,13.580000
16,forwarded,0.000000,13.700000,13.700000
17,forwarded,0.000000,13.800000,13.800000
18,forwarded,0.000000,13.920000,13.920000
19,forwarded,0.000000,14.040000,14.040000
20,forwarded,0.000000,14.140000,14.140000
21,forwarded,0.000000,14.260000,14.260000
22,forwarded,0.000000,14.380000,14.380000
23,forwarded,0.000000,14.500000,14.500000
24,forwarded,0.000000,14.620000,14.620000
25,forwarded,0.000000,14.720000,14.720000
26,forwarded,0.000000,14.840000,14.840000
27,forwarded,0.000000,14.960000,14.960000
28,forwarded,0.000000,15.080000,15.080000
29,forwarded,0.000000,15.200000,15.200000
30,forwarded,0.000000,15.300000,15.300000
31,forwarded,0.000000,15.420000,15.420000
32,forwarded,0.000000,15.540000,15.540000
33,forwarded,0.000000,15.640000,15.640000
34,forwarded,0.000000,15.760000,15.760000
35,forwarded,0.000000,15.880000,15.880000
36,forwarded,0.000000,16.000000,16.000000
37,forwarded,0.000000,16.100000,16.100000
38,forwarded,0.000000,16.240000,16.240000
39,forwarded,0.000000,16.340000,16.340000
40,forwarded,0.000000,16.440000,16.440000
41,forwarded,0.000000,16.580000,16.580000
42,forwarded,0.000000,16.680000,16.680000
43,forwarded,0.000000,16.780000,16.780000
44,forwarded,0.000000,16.900000,16.900000
45,forwarded,0.000000,17.000000,17.000000
46,forwarded,0.000000,17.100000,17.100000
47,forwarded,0.000000,17.220000,17.220000
48,forwarded,0.000000,17.320000,17.320000
49,forwarded,0.000000,17.420000,17.420000
50,forwarded,0.000000,17.540000,17.540000
51,forwarded,0.000000,17.640000,17.640000
52,forwarded,0.000000,17.760000,17.760000
53,forwarded,0.000000,17.880000,17.880000
54,forwarded,0.000000,17.980000,17.980000
55,forwarded,0.000000,18.100000,18.100000
56,forwarded,0.000000,18.220000,18.220000
57,forwarded,0.000000,18.320000,18.320000
58,forwarded,0.000000,18.420000,18.420000
59,forwarded,0.000000,18.540000,18.540000
60,forwarded,0.000000,18.640000,18.640000
61,forwarded,0.000000,18.760000,18.760000
62,forwarded,0.000000,18.880000,18.880000
63,forwarded,0.000000,18.980000,18.980000
64,forwarded,0.000000,19.100000,19.100000
65,forwarded,0.000000,19.220000,19.220000
66,forwarded,0.000000,19.320000,19.320000
67,forwarded,0.000000,19.420000,19.420000
68,forwarded,0.000000,19.540000,19.540000
69,forwarded,0.000000,19.640000,19.640000
70,forwarded,0.000000,19.760000,19.760000
71,forwarded,0.000000,19.880000,19.880000
72,forwarded,0.000000,19.980000,19.980000
73,forwarded,0.000000,20.100000,20.100000
