topic,session_index,message_count,unique_sequence_count,expected_sequence_count,missing_sequence_count,duplicate_count,out_of_order_count,packet_delivery_ratio,mean_message_age_s,p50_message_age_s,p95_message_age_s,p99_message_age_s,max_message_age_s,actual_rate_hz,stale_state_candidate_events,mean_message_size_bytes,mean_bandwidth_bytes_per_s,peak_bandwidth_bytes_per_s
/epuck1/state,0,417,417,417,0,0,0,1.0,1784327449.4449153,1784327449.4158084,1784327450.3375335,1784327450.4048865,1784327450.4296255,8.834502545254832,0,80.0,708.459146417551,800.0
/epuck2/state,0,409,409,409,0,0,0,1.0,1784327449.466646,1784327449.4594111,1784327450.338952,1784327450.4094307,1784327450.4370525,8.839933856346402,0,80.0,708.9280288717017,720.0
