relative_path,wsl_source_sha256,windows_copy_sha256,match
"shared_exit_n3_n3_exit_comm_off_trial02_attempt01_diag_logs/goal_navigator_epuck3.log",780bf856ee5fd65ab152eef913ca4fa257a8b6239e99543ccdbcf202cf4c0ed7,780bf856ee5fd65ab152eef913ca4fa257a8b6239e99543ccdbcf202cf4c0ed7,true
"shared_exit_n3_n3_exit_comm_off_trial02_attempt01_diag_logs/monitor_verdict.json",75a9748f39845a7130a381f893583791c0af35ecdbb9ec12f5162a36e2cf5f8d,75a9748f39845a7130a381f893583791c0af35ecdbb9ec12f5162a36e2cf5f8d,true
"shared_exit_n3_n3_exit_comm_off_trial02_attempt01_diag_logs/simulation.log",1bf49f6a2f8f63693f533afd12dae4773ff88ecae4f868a93ee5e49094f29000,1bf49f6a2f8f63693f533afd12dae4773ff88ecae4f868a93ee5e49094f29000,true
"shared_exit_n3_n3_exit_comm_off_trial02_attempt01_diag_logs/state_epuck1.log",c67c4dae847b40a39a4476b964523207071452b6a417e466146dc56cad1583aa,c67c4dae847b40a39a4476b964523207071452b6a417e466146dc56cad1583aa,true
"shared_exit_n3_n3_exit_comm_off_trial02_attempt01_diag_logs/state_epuck2.log",80929954656125c29817661b9035ca60fd4bda584cd6ce8a12dcea4017dbdc6b,80929954656125c29817661b9035ca60fd4bda584cd6ce8a12dcea4017dbdc6b,true
"shared_exit_n3_n3_exit_comm_off_trial02_attempt01_diag_logs/state_epuck3.log",effe7e0d9b560d396afd3ce33cf1cf90ece6816f9e66917c2920e128a7e2d7c1,effe7e0d9b560d396afd3ce33cf1cf90ece6816f9e66917c2920e128a7e2d7c1,true
"shared_exit_n3_n3_exit_comm_off_trial02_attempt01_diag_logs/task_completion_monitor.log",f165c0b3664ed2bc5009a6b4e2ce2e9a28399d83ee409c1bf625a9d2b0c15de8,f165c0b3664ed2bc5009a6b4e2ce2e9a28399d83ee409c1bf625a9d2b0c15de8,true
"shared_exit_n3_n3_exit_comm_off_trial02_attempt01_diag_logs/trial_verdict.json",3247cd36207f1d077ce127339600d6b07b9967e693209b2733c8a5647a8fe21e,3247cd36207f1d077ce127339600d6b07b9967e693209b2733c8a5647a8fe21e,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01/metadata.yaml",4f032250348b48250f4e4a241c84aea057a3cf68fa7f0c38d32188baf6b52bdc,4f032250348b48250f4e4a241c84aea057a3cf68fa7f0c38d32188baf6b52bdc,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01/shared_exit_n3_n3_exit_comm_off_trial03_attempt01_0.db3",2477c07cd57287e4f7a1e52794c78c144a07d50b6d8908456d1260dec44480fe,2477c07cd57287e4f7a1e52794c78c144a07d50b6d8908456d1260dec44480fe,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/bag_record.log",4e1a150be5c8cdc3023a6ecc106215285a6ea7005bcac5deefc609ed5ec83c26,4e1a150be5c8cdc3023a6ecc106215285a6ea7005bcac5deefc609ed5ec83c26,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/controller.log",4b10000b2142b201b1ef45d4043d9827c2228590cf1ec4fe7c26d0d53377ecb5,4b10000b2142b201b1ef45d4043d9827c2228590cf1ec4fe7c26d0d53377ecb5,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/execution.log",8ffc0d72dcb7c43d610d9b303342bf81e0dfbbee089fd20ac045c93cbc963162,8ffc0d72dcb7c43d610d9b303342bf81e0dfbbee089fd20ac045c93cbc963162,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/frozen_params_canonical_copy.json",5058e93409e50d922672fb3351f7c467a71f89821f698ce106da4449fadabb80,5058e93409e50d922672fb3351f7c467a71f89821f698ce106da4449fadabb80,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/goal_navigator_epuck1.log",ca495b9ab1db05db65db5d7a96141c689024dd77eaf04666eaf429a5496993a1,ca495b9ab1db05db65db5d7a96141c689024dd77eaf04666eaf429a5496993a1,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/goal_navigator_epuck2.log",7391c1892d61a6f402aa30c0f39e3b6ad8f620358b57626e63f527aaec4feca3,7391c1892d61a6f402aa30c0f39e3b6ad8f620358b57626e63f527aaec4feca3,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/goal_navigator_epuck3.log",89a729920539a18fd253ba194ced414dbd0df50c1d2045ab65aa673fe52dde68,89a729920539a18fd253ba194ced414dbd0df50c1d2045ab65aa673fe52dde68,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/monitor_verdict.json",e14407844a07844ed4ad59e2d9955239e056833e87b816a6fada574a51cce989,e14407844a07844ed4ad59e2d9955239e056833e87b816a6fada574a51cce989,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/simulation.log",195eb5f47aa3a1b07e2ecb8ad85e27a9701db886793d2acf1863c62b530061e6,195eb5f47aa3a1b07e2ecb8ad85e27a9701db886793d2acf1863c62b530061e6,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/state_epuck1.log",9692da944d9a0a79b03b4fa756fd05b8275c82bc44172cea1247f91b8b6dd470,9692da944d9a0a79b03b4fa756fd05b8275c82bc44172cea1247f91b8b6dd470,true
"shared_exit_n3_n3_exit_comm_off_trial03_attempt01_diag_logs/state_epuck2.log",a36a01a38e6012f49b6096e28e8602d44475c9b739b8a5e1cde4e0315abb4261,a36a01a38e6012f49b6096e28e8602d44475c9b739b8a5e1cde4e0315abb4261,true
