unix_time_s,cpu_percent,mem_used_mb,mem_available_mb,net_rx_bytes_delta,net_tx_bytes_delta,wifi_link_quality,wifi_signal_dbm
1784386737.410,14.81,217.59,146.94,3166,41015,70.0,-29.0
1784386738.417,14.74,217.52,147.01,2951,37576,70.0,-28.0
1784386739.424,14.29,217.58,146.95,2950,35886,70.0,-28.0
1784386740.430,14.07,217.58,146.95,3168,40770,70.0,-28.0
1784386741.436,14.53,217.58,146.95,2947,36094,70.0,-28.0
1784386742.441,14.14,217.58,146.95,3208,39742,70.0,-28.0
1784386743.448,15.57,217.58,146.95,2911,37165,70.0,-28.0
1784386744.454,15.48,217.58,146.95,3289,41067,70.0,-28.0
1784386745.459,12.78,217.64,146.89,2912,37010,70.0,-29.0
1784386746.466,14.29,217.57,146.96,3155,37377,70.0,-29.0
1784386747.472,14.43,217.57,146.96,3016,40376,70.0,-28.0
1784386748.479,13.43,217.57,146.96,2948,36941,70.0,-29.0
1784386749.486,14.29,217.57,146.96,3165,40733,70.0,-29.0
1784386750.493,13.43,217.63,146.90,2911,35909,70.0,-28.0
1784386751.507,17.23,217.57,146.96,3003,38455,70.0,-28.0
1784386752.513,14.53,217.54,147.00,3207,40756,70.0,-28.0
1784386753.520,14.04,217.48,147.05,2985,36385,70.0,-28.0
1784386754.527,14.99,217.42,147.11,3168,39852,70.0,-28.0
1784386755.533,15.80,217.48,147.05,2951,36830,70.0,-29.0
1784386756.539,13.40,217.48,147.05,3166,39921,70.0,-28.0
1784386757.545,14.36,217.54,147.00,2951,36853,70.0,-29.0
1784386758.551,14.68,217.59,146.94,2911,36853,70.0,-28.0
1784386759.557,15.82,217.53,147.00,3245,40868,70.0,-29.0
1784386760.564,14.07,217.53,147.00,2950,39097,70.0,-29.0
1784386761.570,15.78,217.53,147.00,3206,40309,70.0,-28.0
1784386762.576,13.90,217.47,147.06,2911,36406,70.0,-28.0
1784386763.582,13.43,217.53,147.00,3197,40235,70.0,-28.0
1784386764.589,12.59,217.53,147.00,2964,36849,70.0,-28.0
1784386765.596,13.00,217.51,147.02,3166,40462,70.0,-28.0
1784386766.603,13.83,217.63,146.90,2949,37431,70.0,-29.0
1784386767.609,13.00,217.62,146.91,3259,40702,70.0,-28.0
1784386768.615,12.56,217.62,146.91,3029,37998,70.0,-28.0
1784386769.621,13.40,217.62,146.91,3032,39573,70.0,-28.0
1784386770.627,14.36,217.61,146.92,3248,42038,70.0,-29.0
1784386771.632,12.97,217.61,146.92,2991,37624,70.0,-28.0
1784386772.638,15.02,217.61,146.92,3220,42467,70.0,-28.0
1784386773.644,13.68,217.67,146.86,2953,38437,70.0,-28.0
1784386774.649,13.61,217.61,146.92,3128,37225,70.0,-28.0
1784386775.654,12.03,217.61,146.92,3003,40224,70.0,-28.0
1784386776.660,13.65,217.61,146.92,2912,36947,70.0,-28.0
1784386777.666,15.06,217.73,146.80,3249,40754,70.0,-28.0
1784386778.672,15.37,217.84,146.69,2900,37448,70.0,-28.0
1784386779.678,13.86,217.84,146.69,2952,37494,70.0,-28.0
1784386780.684,14.21,217.84,146.69,3219,39842,70.0,-28.0
1784386781.690,14.14,217.84,146.69,2948,36580,70.0,-28.0
1784386782.695,13.86,217.84,146.69,3208,40463,70.0,-28.0
1784386783.702,14.91,217.82,146.71,2962,36535,70.0,-28.0
1784386784.708,13.93,217.88,146.65,3204,40306,70.0,-28.0
1784386785.715,17.27,218.00,146.54,2989,36924,70.0,-28.0
1784386786.722,13.86,218.05,146.48,3114,36577,70.0,-28.0
1784386787.729,15.94,218.05,146.48,3002,40029,70.0,-29.0
1784386788.736,14.60,218.05,146.48,2949,37219,70.0,-29.0
1784386789.742,12.75,218.05,146.48,3208,40408,70.0,-29.0
1784386790.748,16.42,218.11,146.42,2913,35999,70.0,-28.0
1784386791.755,15.02,218.37,146.16,3208,40972,70.0,-28.0
1784386792.761,14.07,218.37,146.16,2992,36601,70.0,-28.0
1784386793.767,14.25,218.37,146.16,3156,40483,70.0,-34.0
1784386794.775,16.50,218.31,146.22,2962,36895,70.0,-36.0
1784386795.782,14.71,218.31,146.22,2950,36443,70.0,-36.0
