"relative_path","file_type","size_bytes","sha256"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_C_trial02_attempt01/bag/objective5_impairment_matrix_v1_condition_C_trial02_attempt01_0.db3","rosbag2_sqlite3","397312","058e97a54a3ee1ac90c28535220ac6ae0ed09012ef9e8c3284bfcd439921e687"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_C_trial03_attempt01/bag/metadata.yaml","rosbag2_metadata","4524","14c429bf740e3c8335abe7b5b7e5152c1746f6fc54be6bef527e6d64299f8ab6"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_C_trial03_attempt01/bag/objective5_impairment_matrix_v1_condition_C_trial03_attempt01_0.db3","rosbag2_sqlite3","401408","c837387a12277977b879da8cd934e92095aa600436201aa5cbb8a86561295b7a"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_C_trial04_attempt01/bag/metadata.yaml","rosbag2_metadata","4524","7807e18c2f6ddbff084d79dfded3164819f312321f297f26c1a9c35496bf9f47"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_C_trial04_attempt01/bag/objective5_impairment_matrix_v1_condition_C_trial04_attempt01_0.db3","rosbag2_sqlite3","401408","9675bd0127517b038887b0e87fdfce1ebf5a72f979fbe925038e0cc66d6929c8"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_C_trial05_attempt01/bag/metadata.yaml","rosbag2_metadata","4524","1fc82b606605a69abc7dbaa100b459a17205c3c74158a23f0022486d1250e890"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_C_trial05_attempt01/bag/objective5_impairment_matrix_v1_condition_C_trial05_attempt01_0.db3","rosbag2_sqlite3","405504","a12450fb889c929219b80f5a39b65679910a1e321d2a81d36581478701784020"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial01_attempt01/bag/metadata.yaml","rosbag2_metadata","4524","9f2273a07721dea0c63a3200dc37a6f08ebe2b0220b42cc927d6b32a7405866d"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial01_attempt01/bag/objective5_impairment_matrix_v1_condition_D_trial01_attempt01_0.db3","rosbag2_sqlite3","385024","0a14d794645169cc90d2ee5047b6117698112b06ef2b9c9a853bd212d18b2c87"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial02_attempt01/bag/metadata.yaml","rosbag2_metadata","4524","825383687fcc727138de5daff0381f5f0b13e1b555659b48d53ddb5fcce8d61b"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial02_attempt01/bag/objective5_impairment_matrix_v1_condition_D_trial02_attempt01_0.db3","rosbag2_sqlite3","380928","e28fab0f11b7e83f7b10635bd19916d91805a81de1229b82e332ee06c74e1979"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial03_attempt01/bag/metadata.yaml","rosbag2_metadata","4524","13b000389d07516fed5058245f5f955ba1dffa489f996f7223f8603181429fc8"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial03_attempt01/bag/objective5_impairment_matrix_v1_condition_D_trial03_attempt01_0.db3","rosbag2_sqlite3","376832","6981f7a92e566f8eb1c3b97919f5e70239d2d869cd5b8734a0f06ac90b82e442"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial04_attempt01/bag/metadata.yaml","rosbag2_metadata","4524","f6f05a2f259dcde3d91ad2eed0f09b693389c33408998dce71eb8ddf24ba0b3e"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_D_trial04_attempt01/bag/objective5_impairment_matrix_v1_condition_D_trial04_attempt01_0.db3","rosbag2_sqlite3","393216","09680716cadf654286fa6f62a5b833b846cb6b04a70e2f071637c2fee7ba18a0"
