unix_time_s,cpu_percent,mem_used_mb,mem_available_mb,net_rx_bytes_delta,net_tx_bytes_delta,wifi_link_quality,wifi_signal_dbm
1784385741.126,14.32,209.57,154.96,2949,37392,70.0,-30.0
1784385742.132,12.56,209.62,154.91,3206,42032,70.0,-36.0
1784385743.138,12.63,209.61,154.92,2952,37497,70.0,-35.0
1784385744.144,13.22,209.61,154.92,3110,40835,70.0,-37.0
1784385745.149,14.60,209.61,154.92,3003,36136,70.0,-36.0
1784385746.155,13.07,209.50,155.03,2912,35943,70.0,-37.0
1784385747.162,13.50,209.56,154.97,3208,41220,70.0,-36.0
1784385748.169,13.90,209.55,154.98,2963,36984,70.0,-36.0
1784385749.176,14.36,209.55,154.98,3249,40175,70.0,-36.0
1784385750.182,14.78,209.43,155.10,2911,38054,70.0,-36.0
1784385751.188,14.04,209.55,154.98,2990,37099,70.0,-37.0
1784385752.195,14.60,209.55,154.98,3209,40326,70.0,-36.0
1784385753.201,13.75,209.55,154.98,3033,38729,70.0,-36.0
1784385754.207,14.43,209.54,155.00,3299,41920,70.0,-36.0
1784385755.212,13.25,209.53,155.00,2991,38420,70.0,-36.0
1784385756.219,14.36,209.59,154.94,3029,39435,70.0,-37.0
1784385757.226,14.32,209.53,155.00,3248,41719,70.0,-36.0
1784385758.233,14.60,209.59,154.94,2950,38384,70.0,-36.0
1784385759.239,14.64,209.59,154.94,3202,42859,70.0,-36.0
1784385760.245,13.93,209.59,154.95,2951,36491,70.0,-35.0
1784385761.252,14.22,209.59,154.94,3153,36386,70.0,-37.0
1784385762.259,12.97,209.65,154.88,2921,41954,70.0,-37.0
1784385763.265,13.47,209.65,154.88,2951,37046,70.0,-35.0
1784385764.272,13.22,209.65,154.88,3205,39563,70.0,-38.0
1784385765.278,15.23,209.71,154.82,2912,37216,70.0,-37.0
1784385766.284,12.56,209.65,154.88,3207,39947,70.0,-36.0
1784385767.289,13.72,209.71,154.82,2952,37705,70.0,-36.0
1784385768.295,12.72,209.65,154.88,2950,37652,70.0,-37.0
1784385769.301,14.14,209.65,154.88,3169,40124,70.0,-35.0
1784385770.307,13.97,209.67,154.86,2949,36227,70.0,-36.0
1784385771.313,13.35,209.61,154.92,3260,40645,70.0,-36.0
1784385772.319,14.57,209.67,154.86,3029,36327,70.0,-36.0
1784385773.325,13.90,209.67,154.86,3115,36494,70.0,-36.0
1784385774.332,13.93,209.67,154.86,3000,40697,70.0,-36.0
1784385775.338,15.89,209.67,154.86,2952,35992,70.0,-36.0
1784385776.355,13.72,209.67,154.86,3209,39666,70.0,-36.0
1784385777.361,12.85,209.67,154.86,2912,37288,70.0,-36.0
1784385778.367,14.32,209.73,154.80,3206,40156,70.0,-36.0
1784385779.373,12.56,209.72,154.81,2949,36477,70.0,-36.0
1784385780.379,15.40,209.65,154.88,3260,41551,70.0,-37.0
