time_s,linear_mps,angular_rps
98.864366457,0.0,0.0
98.905163587,0.0,0.0
98.961873855,0.0,0.0
98.998296156,0.0,0.0
99.057375285,0.0,0.0
99.114966338,0.0,0.0
99.227802984,0.0,0.0
99.265188269,0.0,0.0
99.319959169,0.0,0.0
99.347253121,0.0,0.0
99.399344349,0.0,0.0
99.439093377,0.0,0.0
99.499344058,0.0,0.0
99.565921632,0.0,0.0
99.626321111,0.0,0.0
99.666733327,0.0,0.0
99.717561368,0.0,0.0
99.760203047,0.0,0.0
99.8339029,0.0,0.0
99.873749126,0.0,0.0
99.929042691,0.0,0.0
99.966650855,0.0,0.0
100.028910302,0.0,0.0
100.088593993,0.0,0.0
100.149158469,0.0,0.0
100.185933347,0.0,0.0
100.243046381,0.0,0.0
100.284281184,0.0,0.0
100.356002371,0.0,0.0
100.395245394,0.0,0.0
100.450661031,0.0,0.0
100.488911766,0.0,0.0
100.548256635,0.0,0.0
100.611865829,0.0,0.0
100.670896704,0.0,0.0
100.709047341,0.001875442400000793,0.0
100.765099666,0.004683628600000133,0.0
100.803244103,0.006629069800001729,0.0
100.874595463,0.01008304475000159,0.0
100.937739866,0.01335020300000167,0.0
100.996508145,0.015,0.0
101.032100326,0.015,0.0
101.088515146,0.015,0.0
101.128828145,0.015,0.0
101.212481491,0.015,0.0
101.247788778,0.015,0.0
101.302828721,0.015,0.0
101.341515849,0.015,0.0
101.40488403,0.015,0.0
101.478015225,0.015,0.0
101.537596363,0.015,0.0
101.57360562,0.015,0.0
101.629718319,0.015,0.0
101.669606608,0.015,0.0
101.737999487,0.015,0.0
101.778107172,0.015,0.0
101.83092553,0.015,0.0
101.869545441,0.015,0.0
101.93066985,0.015,0.0
101.989691797,0.015,0.0
102.071280842,0.015,0.0
102.107681792,0.015,0.0
102.164646376,0.015,0.0
102.203307686,0.015,0.0
102.266568858,0.015,0.0
102.325503706,0.015,0.0
102.385137034,0.015,0.0
102.397161614,0.015,0.0
102.40778762,0.015,0.0
102.413881709,0.015,0.0
102.421131576,0.015,0.0
102.427771855,0.015,0.0
102.435040922,0.015,0.0
102.441100511,0.015,0.0
102.452841496,0.015,0.0
102.457872404,0.015,0.0
102.469337394,0.015,0.0
102.47776644,0.015,0.0
102.489539025,0.015,0.0
102.49418764,0.015,0.0
102.502462988,0.015,0.0
102.511887216,0.015,0.0
102.521305643,0.015,0.0
102.53021798,0.015,0.0
102.538690125,0.015,0.0
102.543303841,0.015,0.0
102.55702029,0.015,0.0
102.561602506,0.015,0.0
102.574348473,0.015,0.0
102.579868972,0.015,0.0
102.588893207,0.015,0.0
102.59747175,0.015,0.0
102.607763662,0.015,0.0
102.614474539,0.015,0.0
102.625161844,0.015,0.0
102.630728742,0.015,0.0
102.642235031,0.015,0.0
102.647722131,0.015,0.0
102.656242075,0.015,0.0
102.66418073,0.015,0.0
