time_s,center_separation_m
0.140746881,1.0
0.237574002,1.0
0.237595294,1.0
0.362021473,1.0
0.363699356,1.0
0.478820155,1.0
0.49113193,1.0
0.573815448,1.0
0.575855598,1.0
0.708280938,1.0
0.710631774,1.0
0.841071543,1.0
0.843143682,1.0
0.957706015,1.0
0.957708813,1.0
1.05088804,1.0
1.052229681,1.0
1.205780844,1.0
1.205794436,1.0
1.296930671,1.0
1.298304491,1.0
1.421735744,1.0
1.4228968,1.0
1.556032838,1.0
1.558225534,1.0
1.653468339,1.0
1.653472536,1.0
1.775728942,1.0
1.777677994,1.0
1.886108054,1.0
1.887087226,1.0
2.004021984,1.0
2.004808792,1.0
2.098477422,1.0
2.101268668,1.0
2.215482631,1.0
2.215485628,1.0
2.339899522,1.0
2.341900862,1.0
2.431794012,1.0
2.432171081,1.0
2.575460276,1.0
2.577412659,1.0
2.671370135,1.0
2.672075515,1.0
2.787725416,1.0
2.788612136,1.0
2.932963973,1.0
2.932989436,1.0
3.021494456,1.0
3.021675241,1.0
3.159289895,1.0
3.160731802,1.0
3.269075038,1.0
3.269077623,1.0
3.381027915,1.0
3.382643149,1.0
3.473394517,1.0
3.473877904,1.0
3.606425198,1.0
3.609872947,1.0
3.703687921,1.0
3.704849602,1.0
3.816342063,1.0
3.8187229,1.0
3.95748582,1.0
3.958396739,1.0
4.051105591,1.0
4.051109071,1.0
4.192055284,1.0
4.192058665,1.0
4.303118136,1.0
4.303121118,1.0
4.400557266,1.0
4.401436569,1.0
4.542865085,1.0
4.542875028,1.0
4.651262191,1.0
4.652504191,1.0
4.768073915,1.0
4.768086244,1.0
4.880790181,1.0
4.880825874,1.0
5.012094177,1.0
5.012617657,1.0
5.106178638,1.0
5.106189076,1.0
5.237982137,1.0
5.238784953,1.0
5.350283546,1.0
5.350322812,1.0
5.44571697,1.0
5.446939386,1.0
5.550273033,1.0
5.550987873,1.0
5.66237672,1.0
5.662380199,1.0
5.785527181,1.0
5.787786518,1.0
5.895590626,1.0
5.896317197,1.0
6.029997903,1.0
6.030642769,1.0
6.136932357,1.0
6.138530607,1.0
6.250039454,1.0
6.252183673,1.0
6.392930854,1.0
6.394853128,1.0
6.481935189,1.0
6.483681337,1.0
6.598029663,1.0
6.600745892,0.99962317943573
6.712667522,0.99962317943573
6.713673584,0.9991207718849182
6.809043984,0.9972367882728577
6.809046568,0.9972367882728577
6.954901793,0.9952272176742554
6.956646433,0.9952272176742554
7.063630529,0.9952272176742554
7.064153673,0.9923383593559265
7.202665028,0.9923383593559265
7.205142742,0.990454375743866
7.319141914,0.9869375824928284
7.319281866,0.9869375824928284
7.451867133,0.9869375824928284
7.452662525,0.9839231967926025
7.549030312,0.9809088110923767
7.54927977,0.9809088110923767
7.643395345,0.9783967733383179
7.643700405,0.9783967733383179
7.778548565,0.9758847951889038
7.778576715,0.9758847951889038
7.872532373,0.9758847951889038
7.873750816,0.972870409488678
8.007678637,0.972870409488678
8.011906996,0.9703583717346191
8.117790457,0.9703583717346191
8.118697753,0.9673439860343933
8.235176916,0.9673439860343933
8.237460628,0.964957594871521
8.346494672,0.9619432091712952
8.346704079,0.9619432091712952
8.488667984,0.9619432091712952
8.490964571,0.9584264159202576
8.579717901,0.9584264159202576
8.581570322,0.9559143781661987
8.695003206,0.9534024000167847
8.695018977,0.9534024000167847
8.807875742,0.9534024000167847
8.810417469,0.9503880143165588
8.905738266,0.9503880143165588
8.90616756,0.9478759765625
9.043870157,0.9478759765625
9.044295219,0.9453639984130859
9.155722489,0.9453639984130859
9.156663733,0.9433543980121715
9.273104615,0.9433543980121715
9.273156912,0.9434171915056381
9.384973115,0.9434171915056381
9.386419862,0.943417102100599
9.51990693,0.943417102100599
9.519910324,0.943417102100599
9.612979894,0.943417102100599
9.613078799,0.943417102100599
9.731617246,0.9433559478118984
9.731629721,0.9433559478118984
9.841194563,0.9433559478118984
9.84208341,0.9433559478118984
9.958680914,0.9433559478118984
9.959952402,0.9434161484409012
10.068659987,0.9434161484409012
10.072957957,0.9434161484409012
10.204251843,0.9434161484409012
10.204626474,0.9434161484409012
10.301268544,0.9434161484409012
10.301735585,0.9433597030792814
10.416604911,0.9433597030792814
10.417783191,0.9434145391387828
10.557459357,0.9434145391387828
10.557463149,0.9434145391387828
10.646513615,0.9434145391387828
10.647400693,0.9434145391387828
10.774895084,0.9434145391387828
10.775571095,0.9433656637899621
10.90183281,0.943412303992565
10.90228044,0.943412303992565
10.996347608,0.943412303992565
10.996353893,0.943412303992565
11.129624977,0.943412303992565
11.130122452,0.943412303992565
11.242022567,0.943412303992565
11.242025261,0.943412303992565
11.358843864,0.9433732040357214
11.359979666,0.9433732040357214
11.470513148,0.9433732040357214
11.470661383,0.943374127933147
11.607233836,0.943374127933147
11.609337455,0.9429906214177181
11.696730028,0.9429906214177181
11.698793546,0.94243315872659
11.813839115,0.94243315872659
11.81552227,0.941876467836995
11.927251905,0.941217074354662
11.927265272,0.941217074354662
12.028768218,0.941217074354662
12.02950406,0.9407662139689931
12.168323422,0.9407662139689931
12.170227812,0.9400039879668405
12.280078446,0.9394505295631616
12.280090116,0.9394505295631616
12.404903057,0.9394505295631616
12.40632726,0.9388978500490156
12.523136716,0.9388978500490156
12.523662887,0.9381394598664494
12.650076286,0.9381394598664494
12.652803397,0.937450921664371
12.744517142,0.9370383938028146
12.744531206,0.9370383938028146
12.841941762,0.936488977553609
12.843063428,0.936488977553609
12.972829172,0.9358377082629767
12.972927518,0.9358377082629767
13.06617574,0.9358377082629767
13.06715172,0.9352903086912379
13.202087244,0.9352903086912379
13.202543766,0.9345044442746014
13.313471655,0.9340949424819257
13.313474248,0.9340949424819257
13.434231068,0.9340949424819257
13.434281538,0.9334476221725463
13.540449512,0.9329037959646777
13.542110724,0.9329037959646777
13.680996552,0.9329037959646777
13.683112491,0.932123304621432
13.771123529,0.932123304621432
13.773277969,0.9315807436671176
13.887178385,0.9315807436671176
13.889030106,0.9310389509189564
13.997158922,0.9310389509189564
13.999834687,0.9302956350780243
14.101394349,0.9299919924366138
14.101408811,0.9299919924366138
14.237899328,0.9299919924366138
14.238640878,0.9291500764110039
14.351830461,0.9291500764110039
14.352545581,0.9284773294776412
14.476011344,0.9284773294776412
14.47715015,0.9279399809859253
14.585718883,0.9279399809859253
14.588413897,0.9274037734058439
14.722177284,0.9274037734058439
14.722299762,0.926801425656353
14.815244876,0.926801425656353
14.815857764,0.9261329344177317
14.911459492,0.9261329344177317
14.912064202,0.9255989970986654
15.048249428,0.9255989970986654
15.049538584,0.9249992538344003
15.142364885,0.9245338381525179
15.142368376,0.9245338381525179
15.300365764,0.9240026196382205
15.301923403,0.9240026196382205
15.411225986,0.9240026196382205
15.411828676,0.9232730083964854
15.528911872,0.9232730083964854
15.532879771,0.9226771390027969
15.643503424,0.9226771390027969
15.645705541,0.9221483471087658
15.778018349,0.9221483471087658
15.779117313,0.9214892578988684
15.870318257,0.9209625867943391
15.870321249,0.9209625867943391
15.968797539,0.9209625867943391
15.969349444,0.9203706505800567
16.102515048,0.9198453050649021
16.103777728,0.9198453050649021
16.193833999,0.9198453050649021
16.195078727,0.9193207574366616
16.326531769,0.918666593915696
16.326545532,0.918666593915696
16.438080026,0.918666593915696
16.440597806,0.9179483910799288
16.546564083,0.9179483910799288
16.546795855,0.917557083550615
16.656004749,0.917557083550615
16.657889942,0.9169059098095218
16.801212335,0.916288889805106
16.801940562,0.916288889805106
16.89401357,0.916288889805106
16.89563069,0.9157706746560897
16.989970852,0.9152849618727857
16.989982819,0.9152849618727857
17.116422847,0.9147674566383192
17.116435013,0.9147674566383192
17.224365975,0.9140254248620651
17.226112787,0.9140254248620651
17.339223051,0.9140254248620651
17.343102318,0.9135102689853707
17.447423673,0.9135102689853707
17.448641036,0.9130281054631053
17.560089955,0.9130281054631053
17.56141243,0.9125783891895217
17.700336638,0.9125783891895217
17.700654367,0.9118729099155429
17.809098621,0.9118729099155429
17.809702367,0.9112650931834058
17.913888193,0.9112650931834058
17.915182844,0.9107546747026241
18.022654942,0.9107546747026241
18.022668704,0.9103401735067862
18.13774133,0.9097669196894638
18.137744821,0.9097669196894638
18.261686286,0.9097669196894638
18.262111309,0.9091311623106408
18.353882066,0.9091311623106408
18.355774725,0.9087503276526808
18.488515422,0.908022500516517
18.488944833,0.908022500516517
18.585335894,0.908022500516517
18.587172608,0.9075484156076783
18.678562619,0.9075484156076783
18.678739828,0.9071064518727165
18.817969456,0.9065391107995509
18.818660742,0.9065391107995509
18.907908453,0.9065391107995509
18.909385097,0.9059099990525727
19.027219245,0.9054079977114303
19.02723146,0.9054079977114303
19.140353561,0.9048442006075078
19.140357397,0.9048442006075078
19.273234973,0.9044061358595759
19.273239516,0.9044061358595759
19.399825813,0.9044061358595759
19.402687367,0.9038438544234554
19.496967831,0.9033453152155556
19.498970263,0.9033453152155556
19.614679826,0.9033453152155556
19.615404578,0.9028472755855106
19.725551753,0.9028472755855106
19.726131433,0.9022262495329115
19.847048531,0.9022262495329115
19.85004809,0.9016681196491505
19.941274149,0.9016681196491505
19.943589202,0.9012347898697386
20.076752147,0.9005554832407339
20.076756684,0.9005554832407339
20.171501094,0.9001858003356839
20.172469009,0.9001858003356839
20.269627462,0.8996937297326928
20.270322502,0.8996937297326928
20.407605891,0.8996937297326928
20.407641979,0.8992019487536096
20.500921311,0.898710991771677
20.50223841,0.898710991771677
20.620150994,0.898710991771677
20.621849331,0.8980373532386079
20.730223283,0.8975488060487697
20.730380436,0.8975488060487697
20.84946355,0.8970607428224417
20.850698393,0.8970607428224417
20.962231201,0.8970607428224417
20.962486906,0.8964518742290805
21.079944583,0.8964518742290805
21.08071794,0.8959050734870657
21.175448741,0.8954202959064912
21.176250891,0.8954202959064912
21.297487672,0.8954202959064912
21.298077103,0.8948154475096785
21.407934892,0.8948154475096785
21.407985127,0.8944529629512241
21.500327398,0.8944529629512241
21.503173278,0.8938499360868953
21.642060981,0.8933083478083941
21.644087698,0.8933083478083941
21.732882106,0.8928882516917128
21.734858185,0.8928882516917128
21.849681492,0.8928882516917128
21.850275655,0.8924089062279476
21.962309561,0.8918702925148487
21.96523835,0.8918702925148487
22.065757594,0.8918702925148487
22.066612218,0.8913924287337068
22.189332684,0.8909154418937162
22.189336304,0.8909154418937162
22.299864575,0.8903208222302255
22.299867994,0.8903208222302255
22.423173394,0.8898461922361866
22.423176612,0.8898461922361866
22.537592774,0.8898461922361866
